material,exp_label,rA,rB,rX,nA,nB,nX,chiA,chiB,chiX,rB_rX_ratio,rA_rX_ratio,delta_chi_AX,delta_chi_BX,delta_chi_AO,delta_chi_BO,chi_AX_ratio,chi_BX_ratio,chi_diff,log_rA_rB_ratio,HOMO_A,HOMO_B,HOMO_X,LUMO_A,LUMO_B,LUMO_X,EA_A,EA_B,EA_X,IP_A,IP_B,IP_X,rS_A,rS_B,rS_X,rP_A,rP_B,rP_X,rD_A,rD_B,rD_X,rA_rB_ratio,t_sisso,t,tau,t_jess,p_t_sisso
TlMnCl3,1.0,169.89,82.83,180.61,1.0,2.0,-1.0,1.62,1.55,3.16,0.4585635359116021,0.9392265193370164,-1.54,-1.61,-1.82,-1.89,0.8461538461538461,0.851851851851852,1.2620000000000002,0.7169578292536637,-2.36925177,-4.411136790000002,-8.594666479999974,-2.3692518513323906,-0.936468712147378,0.0197235606770763,-0.1395649868243635,-1.152247272554489,-3.935229981089612,5.166986943295928,7.312724883033412,13.876021229339663,109.74,40.830000000000005,67.85000000000001,154.46,205.42,75.67,59.04,137.51,224.95,2.0510684534588917,0.4702728934074858,0.9407893680281751,4.035696484123953,0.9344964625564147,0.4854250698981046
KZnF3,1.0,164.19,74.34,133.15,1.0,2.0,-1.0,0.82,1.65,3.98,0.556390977443609,1.2330827067669172,-3.16,-2.33,-2.62,-1.79,1.2061068702290076,1.3016759776536313,1.894,0.7958013346200284,-2.318921259999999,-5.977182470000003,-11.111416699999976,-0.7664318763103054,-1.1074028380152596,1.136681619020348,-0.6361622968393374,0.922398193658712,-4.336301480858267,4.31357484707873,9.889346728482574,19.391595983680425,220.49,110.68,40.44,302.81,166.61,37.4,207.8,29.97,143.19,2.20863599677159,0.06461722926585911,1.0133098459557097,3.578456555844916,0.9389125925800014,0.9978457665519288
CsTmI3,1.0,188.28,102.92,219.49,1.0,2.0,-1.0,0.79,1.25,2.66,0.4681818181818181,0.8545454545454544,-1.87,-1.41,-2.65,-2.19,0.7056603773584906,0.6438356164383562,1.1880000000000002,0.6017129746003133,-2.0859241200000014,-3.153999099999999,-7.083940510000032,-0.4792429764515966,-1.0724057668138651,0.2908709899851069,-0.5452966317296846,0.5222435779285232,-3.4344351648747526,3.8635765556284616,6.424661898518719,11.131355946143175,253.57,176.24,90.24,319.04,254.47,107.49,202.25,111.95,41.190000000000005,1.8293820443062572,0.47599081312742797,0.8943198364836901,4.161514677121664,0.9801975180922403,0.46371450379667517
PrLuSe3,0.0,130.43,85.75,198.14,3.0,3.0,-2.0,1.13,1.27,2.55,0.4348484848484849,0.5954545454545455,-1.42,-1.2799999999999998,-2.31,-2.17,0.6147186147186147,0.5898617511520736,1.05,0.3143273961096401,-2.320982129999998,-1.7533157500000005,-6.510488250000024,-2.320982209675374,-1.7533158101883548,-0.2111875472497096,0.1152585549847216,0.3090144625889975,-2.730814399751447,5.700078313684422,5.26002856955933,10.84576444731508,201.97,162.29,79.97,271.35,232.06,95.78,117.98,97.53,23.97,1.5210495626822158,0.8108630277694633,0.8183967745972105,4.1908378835717635,0.8528841386782483,0.004828675489454301
LiZnF3,0.0,115.93,74.34,133.15,1.0,2.0,-1.0,0.98,1.65,3.98,0.556390977443609,0.6917293233082706,-3.0,-2.33,-2.46,-1.79,1.2195121951219512,1.3016759776536313,1.862,0.2177234838448705,-2.8741409099999977,-5.977182470000003,-11.111416699999976,-1.0207578250408813,-1.1074028380152596,1.136681619020348,-0.7561139179561087,0.922398193658712,-4.336301480858267,5.297381732850112,9.889346728482574,19.391595983680425,165.76,110.68,40.44,201.34,166.61,37.4,674.19,29.97,143.19,1.5594565509819747,1.006431887311786,0.8488438031568176,4.300717534427048,0.7952634814459874,0.00024395689289086807
KMgI3,0.0,164.19,72.45,219.49,1.0,2.0,-1.0,0.82,1.31,2.66,0.3272727272727272,0.7454545454545454,-1.8400000000000003,-1.35,-2.62,-2.13,0.7022900763358779,0.6338028169014085,1.17,0.8232003088081431,-2.318921259999999,-4.705333049999998,-7.083940510000032,-0.7664318763103054,-1.3065628048520797,0.2908709899851069,-0.6361622968393374,0.500356888176296,-3.4344351648747526,4.31357484707873,7.971349299642951,11.131355946143175,220.49,135.17999999999998,90.24,302.81,191.16,107.49,207.8,561.2099999999999,41.190000000000005,2.266252587991718,0.8936858412770483,0.9293122326951793,4.799585363355231,1.0297315528354385,0.0013584240476562847
NaCdI3,0.0,139.25,95.14,219.49,1.0,2.0,-1.0,0.93,1.69,2.66,0.4318181818181817,0.6318181818181817,-1.73,-0.9700000000000002,-2.51,-1.75,0.6892430278884463,0.5542857142857144,1.0720000000000005,0.3805970415301508,-2.7445312200000007,-5.657022910000005,-7.083940510000032,-2.7445313142150973,-1.1571185497219154,0.2908709899851069,-0.7570217149871556,0.9482623915387752,-3.4344351648747526,5.147636303709317,9.27193000127873,11.131355946143175,175.88,123.55,90.24,260.21000000000004,179.66,107.49,845.6800000000001,51.92,41.190000000000005,1.4636325415177633,0.6866274596470917,0.8062426522179503,5.149369255324295,1.0025463628331392,0.03211294020665506
NaMgF3,1.0,139.25,72.45,133.15,1.0,2.0,-1.0,0.93,1.31,3.98,0.5413533834586466,1.045112781954887,-3.05,-2.67,-2.51,-2.13,1.2151394422310755,1.2535211267605637,1.94,0.6578078141146367,-2.7445312200000007,-4.705333049999998,-11.111416699999976,-2.7445313142150973,-1.3065628048520797,1.136681619020348,-0.7570217149871556,0.500356888176296,-4.336301480858267,5.147636303709317,7.971349299642951,19.391595983680425,175.88,135.17999999999998,40.44,260.21000000000004,191.16,37.4,845.6800000000001,561.2099999999999,143.19,1.922015182884748,0.22389715784945052,0.936850060270687,3.779495109408802,0.9081645577313989,0.975872712725128
NaCaI3,0.0,139.25,99.98,219.49,1.0,2.0,-1.0,0.93,1.0,2.66,0.4545454545454545,0.6318181818181817,-1.73,-1.66,-2.51,-2.44,0.6892430278884463,0.680327868852459,1.2100000000000002,0.3293037471426003,-2.7445312200000007,-3.766160950000002,-7.083940510000032,-2.7445313142150973,-1.9458476867976409,0.2908709899851069,-0.7570217149871556,0.1499954621481116,-3.4344351648747526,5.147636303709317,6.309260154585895,11.131355946143175,175.88,179.84,90.24,260.21000000000004,231.02,107.49,845.6800000000001,67.61,41.190000000000005,1.392778555711142,0.7816905463303625,0.794028001588048,5.399309967385937,0.8044331110026085,0.007551253089981442
SmYbSe3,0.0,123.78,86.89,198.14,3.0,3.0,-2.0,1.17,1.1,2.55,0.4383838383838384,0.6262626262626263,-1.38,-1.4499999999999995,-2.27,-2.34,0.6079295154185022,0.6196581196581195,1.0759999999999998,0.3566749439387324,-2.519165209999997,-3.076992080000003,-6.510488250000024,-2.5191652964786626,-1.0944533775707237,-0.2111875472497096,0.530550865217543,0.4767999173605045,-2.730814399751447,5.94376524505028,6.531525574217345,10.84576444731508,194.74,173.83,79.97,267.86,248.9,95.78,115.12,112.51,23.97,1.4245597882380021,0.7311026736756155,0.7986260688369334,5.35757427410643,0.7835100414668772,0.016366744186378204
RbCaI3,0.0,172.2,99.98,219.49,1.0,2.0,-1.0,0.82,1.0,2.66,0.4545454545454545,0.7818181818181817,-1.8400000000000003,-1.66,-2.62,-2.44,0.7022900763358779,0.680327868852459,1.2320000000000002,0.5423242908253617,-2.23129531,-3.766160950000002,-7.083940510000032,-0.6626547127478113,-1.9458476867976409,0.2908709899851069,-0.5654554674099543,0.1499954621481116,-3.4344351648747526,4.153592876586776,6.309260154585895,11.131355946143175,231.42,179.84,90.24,324.0,231.02,107.49,240.1,67.61,41.190000000000005,1.7223444688937786,0.5260458570255975,0.8669588781346449,4.363239509138509,0.8949458703378328,0.2865605635876463
KNiCl3,0.0,164.19,69.57,180.61,1.0,2.0,-1.0,0.82,1.91,3.16,0.3812154696132596,0.9060773480662982,-2.3400000000000003,-1.2500000000000002,-2.62,-1.53,0.8931297709923665,0.8169934640522877,1.35,0.865759923226939,-2.318921259999999,-4.439555410000002,-8.594666479999974,-0.7664318763103054,-4.4395555624023935,0.0197235606770763,-0.6361622968393374,-1.3513871613897686,-3.935229981089612,4.31357484707873,7.898771670150475,13.876021229339663,220.49,125.17,67.85000000000001,302.81,156.73999999999998,75.67,207.8,33.809999999999995,224.95,2.3600689952565763,0.6971194363197848,0.974542458660925,4.344540406080961,1.0653608887016315,0.02741588865907864
PbLiBr3,0.0,149.22,75.66,195.56,2.0,1.0,-1.0,2.33,0.98,2.96,0.3877551020408163,0.7602040816326531,-0.6299999999999999,-1.98,-1.11,-2.46,0.5675675675675674,0.8048780487804879,1.1139999999999997,0.673212965659128,-3.496077730000001,-2.8741409099999977,-7.858438990000018,-3.4960778500144083,-1.0207578250408813,0.0551102718918419,-0.8830451593257576,-0.7561139179561087,-3.6781509272527466,6.576348032711487,5.297381732850112,12.554312316976,103.96,165.76,75.14,140.49,201.34,88.34,56.76,674.19,22.81,1.9722442505947662,0.7041496123414053,0.8988897947663986,4.392510421431908,0.6338608626485412,0.02465089027388585
CsCoCl3,0.0,188.28,74.25,180.61,1.0,2.0,-1.0,0.79,1.88,3.16,0.4116022099447514,1.0386740331491713,-2.37,-1.2800000000000002,-2.65,-1.56,0.8943396226415095,0.8205128205128206,1.3620000000000003,0.9256428374444352,-2.0859241200000014,-4.433222810000001,-8.594666479999974,-0.4792429764515966,0.1435549649279978,0.0197235606770763,-0.5452966317296846,-1.3590473276566433,-3.935229981089612,3.8635765556284616,7.672566418386976,13.876021229339663,253.57,128.78,67.85000000000001,319.04,161.4,75.67,202.25,35.82,224.95,2.5357575757575757,0.5570800255389308,1.0234845702560864,4.157635968596843,1.1155740427920997,0.19915236325017693
SrNaCl3,0.0,144.48,102.87,180.61,2.0,1.0,-1.0,0.95,0.93,3.16,0.56353591160221,0.7955801104972375,-2.21,-2.23,-2.49,-2.51,0.8875502008032128,0.8884462151394423,1.5200000000000005,0.3448404862917294,-3.5257832000000016,-2.7445312200000007,-8.594666479999974,-1.2811882639810177,-2.7445313142150973,0.0197235606770763,0.150586057166743,-0.7570217149871556,-3.935229981089612,5.884929518021573,5.147636303709317,13.876021229339663,195.84,175.88,67.85000000000001,254.93,260.21000000000004,75.67,111.21,845.6800000000001,224.95,1.4044911052785067,0.7316510324446539,0.8108999666407791,6.025327416221739,0.8100821591213401,0.01623051542501541
KCoBr3,0.0,164.19,74.25,195.56,1.0,2.0,-1.0,0.82,1.88,2.96,0.3801020408163265,0.836734693877551,-2.14,-1.08,-2.62,-1.56,0.816793893129771,0.6923076923076923,1.2359999999999998,0.7890673024386846,-2.318921259999999,-4.433222810000001,-7.858438990000018,-0.7664318763103054,0.1435549649279978,0.0551102718918419,-0.6361622968393374,-1.3590473276566433,-3.6781509272527466,4.31357484707873,7.672566418386976,12.554312316976,220.49,128.78,75.14,302.81,161.4,88.34,207.8,35.82,22.81,2.211313131313131,0.7166198127407104,0.9428201523862535,4.420284935351072,1.1123518506948928,0.02040267295933443
SmScS3,1.0,123.78,74.11,184.4,3.0,3.0,-2.0,1.17,1.36,2.58,0.404891304347826,0.6739130434782609,-1.41,-1.22,-2.27,-2.08,0.6211453744493391,0.5865384615384615,1.042,0.509482440219523,-2.519165209999997,-3.2357286599999986,-7.00838179000003,-2.5191652964786626,-3.235728771077069,0.8145175879610062,0.530550865217543,0.2753302914535808,-2.847077729734469,5.94376524505028,6.884657007341072,11.769320157021456,194.74,165.06,74.72999999999999,267.86,217.74,84.92999999999999,115.12,58.09,273.21,1.6702199433274862,0.6569561024528443,0.8429720968377362,3.256412077361066,0.8927090942463035,0.049997058993661546
LiNiCl3,0.0,115.93,69.57,180.61,1.0,2.0,-1.0,0.98,1.91,3.16,0.3812154696132596,0.5082872928176796,-2.18,-1.2500000000000002,-2.46,-1.53,0.8861788617886179,0.8169934640522877,1.318,0.2876820724517812,-2.8741409099999977,-4.439555410000002,-8.594666479999974,-1.0207578250408813,-4.4395555624023935,0.0197235606770763,-0.7561139179561087,-1.3513871613897686,-3.935229981089612,5.297381732850112,7.898771670150475,13.876021229339663,165.76,125.17,67.85000000000001,201.34,156.73999999999998,75.67,674.19,33.809999999999995,224.95,1.6663791864309332,0.8555421578352891,0.8381404312393003,4.859321450058676,0.9091166160505891,0.0024349308525737647
KSmCl3,0.0,164.19,118.88,180.61,1.0,2.0,-1.0,0.82,1.17,3.16,0.6740331491712707,0.9060773480662982,-2.3400000000000003,-1.99,-2.62,-2.27,0.8931297709923665,0.8766519823788547,1.4980000000000002,0.2958453830909418,-2.318921259999999,-2.519165209999997,-8.594666479999974,-0.7664318763103054,-2.5191652964786626,0.0197235606770763,-0.6361622968393374,0.530550865217543,-3.935229981089612,4.31357484707873,5.94376524505028,13.876021229339663,220.49,194.74,67.85000000000001,302.81,267.86,75.67,207.8,115.12,224.95,1.3811406460296096,0.823519216457276,0.8140873895882674,4.796435939052554,0.8293891971335607,0.003977145742906813
TlFeF3,1.0,169.89,78.4,133.15,1.0,2.0,-1.0,1.62,1.83,3.98,0.5864661654135338,1.2781954887218043,-2.36,-2.15,-1.82,-1.61,1.2967032967032963,1.3354037267080745,1.6980000000000002,0.7790896103606701,-2.36925177,-4.431945739999999,-11.111416699999976,-2.3692518513323906,-0.812293287884647,1.136681619020348,-0.1395649868243635,-1.3037382507616442,-4.336301480858267,5.166986943295928,7.470426106445764,19.391595983680425,109.74,133.01,40.44,154.46,193.65,37.4,59.04,38.15,143.19,2.1669642857142852,0.037565781117212316,1.0129150496001058,3.500472900534194,0.9835604453004243,0.9985729043059154
CsTiI3,0.0,188.28,85.67,219.49,1.0,2.0,-1.0,0.79,1.54,2.66,0.3909090909090909,0.8545454545454544,-1.87,-1.12,-2.65,-1.9,0.7056603773584906,0.5894736842105264,1.13,0.7820946665764414,-2.0859241200000014,-4.219539480000003,-7.083940510000032,-0.4792429764515966,-4.219539624849625,0.2908709899851069,-0.5452966317296846,-0.3138992857783973,-3.4344351648747526,3.8635765556284616,7.119307230391988,11.131355946143175,253.57,154.67,90.24,319.04,206.03,107.49,202.25,51.94,41.190000000000005,2.1977354966732814,0.6809146485479304,0.9448737006183855,4.353072536154716,1.1311105991567127,0.03498995388944792
CsCrCl3,0.0,188.28,80.17,180.61,1.0,2.0,-1.0,0.79,1.66,3.16,0.4419889502762431,1.0386740331491713,-2.37,-1.5000000000000002,-2.65,-1.78,0.8943396226415095,0.8426966292134832,1.4060000000000004,0.8544153281560676,-2.0859241200000014,-4.38888821,-8.594666479999974,-0.4792429764515966,-4.388888360663078,0.0197235606770763,-0.5452966317296846,-1.078476583023451,-3.935229981089612,3.8635765556284616,7.228119012129165,13.876021229339663,253.57,142.45999999999998,67.85000000000001,319.04,198.93,75.67,202.25,43.95,224.95,2.3485094174878385,0.47046844833479784,1.0002503166480028,4.003554668676881,1.0615486756757897,0.48468153940095565
RbBeCl3,0.0,172.2,44.95,180.61,1.0,2.0,-1.0,0.82,1.57,3.16,0.2486187845303867,0.9502762430939226,-2.3400000000000003,-1.59,-2.62,-1.87,0.8931297709923665,0.8502673796791443,1.418,1.3408319870431331,-2.23129531,-5.60966653,-8.594666479999974,-0.6626547127478113,-2.01377753912956,0.0197235606770763,-0.5654554674099543,0.6486211812660797,-3.935229981089612,4.153592876586776,9.553745681963834,13.876021229339663,231.42,108.05,67.85000000000001,324.0,120.4,75.67,240.1,289.74,224.95,3.8309232480533923,0.9040596412138951,1.106024879821044,5.870306982377498,1.16178013085624,0.001159295877835495
UNiS3,1.0,117.04,69.57,184.4,4.0,2.0,-2.0,1.38,1.91,2.58,0.3749999999999999,0.6358695652173912,-1.2000000000000002,-0.6700000000000002,-2.06,-1.53,0.5825242718446603,0.4379084967320262,0.8900000000000001,0.5280674302004968,-1.99527278,-4.439555410000002,-7.00838179000003,-1.9952728484943232,-4.4395555624023935,0.8145175879610062,0.546861732757815,-1.3513871613897686,-2.847077729734469,5.590257855882314,7.898771670150475,11.769320157021456,187.98,125.17,74.72999999999999,241.76,156.73999999999998,84.92999999999999,131.23,33.809999999999995,273.21,1.6823343395141586,0.7337381926447852,0.8392755248379662,-0.4129345005836922,1.1164395476036124,0.015722174030526604
PbHfS3,0.0,149.22,70.83,184.4,2.0,4.0,-2.0,2.33,1.3,2.58,0.3858695652173912,0.8097826086956521,-0.25,-1.28,-1.11,-2.14,0.2252252252252252,0.5981308411214953,0.8220000000000001,0.7412664289041438,-3.496077730000001,-2.693665829999998,-7.00838179000003,-3.4960778500144083,-2.693665922468976,0.8145175879610062,-0.8830451593257576,0.1845735353332302,-2.847077729734469,6.576348032711487,6.50368793830198,11.769320157021456,103.96,153.65,74.72999999999999,140.49,213.77,84.92999999999999,56.76,89.50999999999999,273.21,2.1067344345616266,0.7040365945720193,0.9242861676934876,4.258023859822713,0.34803849923706065,0.024693104984992414
BaLiCl3,0.0,161.04,75.66,180.61,2.0,1.0,-1.0,0.89,0.98,3.16,0.4198895027624309,0.8895027624309393,-2.27,-2.18,-2.55,-2.46,0.8901960784313726,0.8861788617886179,1.522,0.7506710246981321,-3.22934977,-2.8741409099999977,-8.594666479999974,-2.0224315294266337,-1.0207578250408813,0.0197235606770763,0.1815487042226235,-0.7561139179561087,-3.935229981089612,5.363406047114364,5.297381732850112,13.876021229339663,219.67,165.76,67.85000000000001,266.14000000000004,201.34,75.67,131.01,674.19,224.95,2.1284694686756542,0.5895792792438364,0.9426918497533885,4.022447135042634,0.9469652504754221,0.13055699414206165
CsDyI3,1.0,188.28,107.52,219.49,1.0,2.0,-1.0,0.79,1.22,2.66,0.4863636363636363,0.8545454545454544,-1.87,-1.4400000000000002,-2.65,-2.22,0.7056603773584906,0.6486486486486487,1.1940000000000002,0.563613128368043,-2.0859241200000014,-3.164901719999999,-7.083940510000032,-0.4792429764515966,-1.1732693202763391,0.2908709899851069,-0.5452966317296846,0.4711191951556382,-3.4344351648747526,3.8635765556284616,6.187951074411365,11.131355946143175,253.57,28.52,90.24,319.04,256.01,107.49,202.25,111.98,41.190000000000005,1.7511160714285714,0.43347550646211164,0.8817395751833477,4.166966645241107,0.9592383837568528,0.6225805440886699
RbMnF3,1.0,172.2,82.83,133.15,1.0,2.0,-1.0,0.82,1.55,3.98,0.6240601503759398,1.2932330827067668,-3.16,-2.43,-2.62,-1.89,1.2061068702290076,1.2857142857142858,1.914,0.7286538690168551,-2.23129531,-4.411136790000002,-11.111416699999976,-0.6626547127478113,-0.936468712147378,1.136681619020348,-0.5654554674099543,-1.152247272554489,-4.336301480858267,4.153592876586776,7.312724883033412,19.391595983680425,231.42,40.830000000000005,40.44,324.0,205.42,37.4,240.1,137.51,143.19,2.078956899674031,0.12920368409093452,0.9997018220297926,3.448133339225926,0.9378034055682363,0.9942409322594031
TlCuF3,1.0,169.89,72.62,133.15,1.0,2.0,-1.0,1.62,1.9,3.98,0.5488721804511277,1.2781954887218043,-2.36,-2.08,-1.82,-1.54,1.2967032967032963,1.3506493506493509,1.6840000000000002,0.8453389959018707,-2.36925177,-4.608164319999999,-11.111416699999976,-2.3692518513323906,-0.6024405606807606,1.136681619020348,-0.1395649868243635,-1.5474569751238811,-4.336301480858267,5.166986943295928,8.147436993683963,19.391595983680425,109.74,120.22,40.44,154.46,203.02,37.4,59.04,31.9,143.19,2.339438171302671,0.048004704936747467,1.0413674429844115,3.586085987757788,0.9997743646403591,0.9983271617195505
RbCdCl3,1.0,172.2,95.14,180.61,1.0,2.0,-1.0,0.82,1.69,3.16,0.5248618784530387,0.9502762430939226,-2.3400000000000003,-1.4700000000000002,-2.62,-1.75,0.8931297709923665,0.8400000000000001,1.394,0.5936175852129121,-2.23129531,-5.657022910000005,-8.594666479999974,-0.6626547127478113,-1.1571185497219154,0.0197235606770763,-0.5654554674099543,0.9482623915387752,-3.935229981089612,4.153592876586776,9.27193000127873,13.876021229339663,231.42,123.55,67.85000000000001,324.0,179.66,75.67,240.1,51.92,224.95,1.8099642631910866,0.309941065378431,0.9047143132998536,3.9489967524718175,0.9619372469654933,0.9153525252947615
NaBeCl3,0.0,139.25,44.95,180.61,1.0,2.0,-1.0,0.93,1.57,3.16,0.2486187845303867,0.7679558011049723,-2.23,-1.59,-2.51,-1.87,0.8884462151394423,0.8502673796791443,1.396,1.127811443360372,-2.7445312200000007,-5.60966653,-8.594666479999974,-2.7445313142150973,-2.01377753912956,0.0197235606770763,-0.7570217149871556,0.6486211812660797,-3.935229981089612,5.147636303709317,9.553745681963834,13.876021229339663,175.88,108.05,67.85000000000001,260.21000000000004,120.4,75.67,845.6800000000001,289.74,224.95,3.0978865406006673,0.9800880295900416,1.0027298490959982,5.757766571005779,1.0477545775928294,0.0003639554015478585
