# FEAT_ID     Feature Postfix Expression (RPN)
0             3|2|mult|3|sq|mult|3|1|add|1|0|mult|div|sub
1             3|2|mult|3|1|add|mult|3|2|mult|3|0|div|add|sub
2             3|2|mult|3|1|sub|mult|3|1|div|3|0|add|div|sub
3             3|1|add|3|0|div|sub|2|1|sub|1|2|div|add|sub
4             3|2|mult|3|sq|mult|3|0|div|1|div|sub
5             3|2|div|2|0|mult|div|3|2|div|1|inv|sub|sub
6             3|2|div|1|0|sub|div|3|sq|1|inv|sub|add
7             1|2|div|1|0|add|sub|1|sq|1|0|add|div|mult
8             3|2|div|2|1|div|add|3|0|mult|3|mult|sub
9             3|2|div|2|1|div|add|3|sq|3|0|mult|mult|sub
10            3|2|sub|2|1|add|mult|3|2|sub|2|0|mult|div|sub
11            3|2|div|2|0|add|div|3|sq|2|sub|sub
12            1|2|div|1|0|sub|div|1|sq|1|inv|sub|add
13            1|2|div|1|0|sub|div|1|inv|1|0|div|sub|sub
14            3|2|div|0|div|3|sq|2|1|sub|sub|sub
15            1|2|div|1|0|sub|div|1|inv|1|sub|sub
16            3|2|sub|2|0|mult|div|2|inv|1|0|add|sub|mult
17            3|2|div|0|div|3|sq|2|sub|sub
18            3|1|add|2|0|mult|div|3|1|add|1|inv|sub|sub
19            3|2|div|1|0|add|div|3|sq|2|sub|sub
20            3|2|sub|0|sq|div|2|inv|1|0|add|sub|mult
21            3|2|sub|1|0|sub|div|2|inv|1|0|add|sub|mult
22            3|2|div|3|0|add|div|3|2|sub|sub
23            3|2|div|0|div|3|1|sub|1|inv|sub|sub
24            1|2|div|1|sub|0|1|div|1|0|sub|div|sub
25            2|1|mult|1|inv|sub|1|2|div|2|0|sub|div|add
26            3|2|mult|3|sq|mult|3|1|sub|1|0|mult|div|sub
27            3|1|div|2|1|mult|add|3|sq|2|0|mult|mult|sub
28            3|2|div|2|0|add|div|3|2|sub|2|1|add|mult|sub
29            3|1|mult|2|1|mult|sub|3|0|mult|2|inv|sub|mult
30            3|2|sub|3|1|mult|add|2|inv|1|0|add|sub|mult
31            3|2|div|3|2|sub|sub|3|1|add|2|0|div|sub|div
32            1|2|div|1|0|add|sub|1|0|sub|0|1|div|add|div
33            1|sq|2|0|mult|div|1|sq|1|add|sub
34            1|inv|1|add|1|2|0|mult|div|add
35            3|2|div|2|1|add|add|3|1|add|2|0|div|sub|div
36            3|2|mult|3|sq|mult|3|2|0|sub|div|add
37            3|2|mult|0|inv|sub|3|1|add|2|3|div|sub|mult
38            3|2|mult|3|sq|mult|3|1|sub|0|inv|add|sub
39            3|2|mult|3|1|mult|mult|3|0|sub|2|0|add|div|sub
40            3|2|sub|1|0|div|mult|2|inv|1|0|add|sub|mult
41            3|1|mult|1|inv|sub|3|1|add|2|0|mult|div|sub
42            3|sq|2|1|div|sub|3|0|add|2|0|mult|div|sub
43            3|1|add|2|3|div|sub|3|0|mult|2|inv|sub|mult
44            3|2|div|2|0|add|div|3|sq|2|1|sub|sub|sub
45            2|0|div|1|inv|sub|1|2|div|2|0|sub|div|add
46            1|2|div|1|sq|sub|0|1|div|1|0|sub|div|sub
47            2|0|div|1|0|sub|div|1|2|div|1|inv|add|sub
48            3|2|mult|3|1|add|mult|2|0|div|3|add|sub
49            3|2|sub|2|sq|mult|2|1|mult|1|0|div|sub|add
50            3|2|mult|3|sq|mult|3|0|div|2|add|sub
51            1|2|div|0|sq|sub|1|0|sub|sq|div
52            1|2|div|2|0|mult|div|1|2|div|1|inv|sub|sub
53            3|2|sub|3|0|mult|mult|3|2|div|sub
54            1|2|div|1|0|add|sub|2|1|sub|0|1|div|add|div
55            3|0|sub|2|1|sub|mult|0|2|div|2|0|sub|div|add
56            1|sq|1|inv|add|1|2|0|mult|div|add
57            3|2|div|2|1|div|add|3|1|add|1|0|div|sub|div
58            1|2|div|1|inv|add|2|0|sq|div|add
59            2|3|div|1|0|sub|div|1|2|div|1|inv|add|sub
60            3|sq|2|0|mult|mult|2|sq|3|add|sub
61            3|1|div|1|0|div|add|3|sq|2|0|mult|mult|sub
62            3|2|add|2|sq|add|3|sq|2|0|mult|mult|sub
63            2|1|sub|1|inv|add|1|2|div|2|0|mult|div|add
64            3|2|sub|2|0|mult|div|2|1|sub|3|sub|add
65            3|2|div|3|2|sub|sub|3|2|sub|1|0|mult|mult|sub
66            3|2|div|1|0|sub|div|3|1|add|1|inv|sub|add
67            3|2|sub|0|1|div|mult|3|1|add|2|1|mult|div|sub
68            3|sq|2|1|sub|sub|2|inv|1|0|add|sub|mult
69            3|2|sub|2|1|mult|add|2|inv|1|0|add|sub|mult
70            3|2|mult|2|sub|2|sq|3|0|sub|div|mult
71            1|2|div|1|inv|add|0|inv|1|sub|add
72            1|2|div|0|inv|add|1|inv|1|sub|add
73            1|2|div|1|sub|1|inv|0|inv|add|add
74            3|1|mult|1|2|div|sub|0|1|div|1|0|sub|div|add
75            1|2|div|1|inv|add|0|1|div|1|0|sub|div|sub
76            3|2|mult|3|mult|3|0|div|1|div|sub
77            3|2|mult|3|1|sub|add|3|sq|2|0|mult|mult|sub
78            3|1|div|0|inv|add|3|sq|2|0|mult|mult|sub
79            3|2|mult|3|1|add|mult|3|0|div|2|sq|add|sub
80            3|1|mult|2|0|mult|div|2|inv|1|0|add|sub|mult
81            3|2|sub|2|0|mult|div|3|1|add|2|0|div|sub|sub
82            3|0|div|2|0|div|sub|2|inv|1|0|add|sub|mult
83            3|2|div|0|div|3|2|sub|3|0|div|add|sub
84            3|2|div|2|0|add|div|3|2|sub|1|0|div|add|sub
85            3|2|div|2|0|add|div|2|1|sub|3|sub|add
86            2|1|sub|1|2|div|add|3|1|add|3|0|div|sub|div
87            2|1|sub|1|0|sub|mult|2|inv|0|inv|add|sub
88            3|2|add|2|0|mult|div|3|sq|2|1|sub|sub|sub
89            2|1|add|2|0|mult|div|2|0|div|1|inv|sub|sub
90            1|2|div|2|0|add|div|1|inv|1|0|div|add|add
91            1|2|div|0|inv|add|1|sq|1|inv|sub|sub
92            1|2|div|1|sq|sub|1|inv|0|inv|add|add
93            1|2|div|1|inv|add|1|sq|0|inv|sub|sub
94            2|1|add|2|0|mult|div|0|1|div|1|0|add|div|add
95            2|1|mult|1|inv|sub|2|1|add|2|0|mult|div|sub
96            3|2|mult|2|3|div|sub|2|sq|3|0|sub|div|mult
97            1|2|div|2|0|sub|div|1|0|sub|1|0|mult|div|add
98            3|2|div|2|1|div|add|3|sq|1|0|add|mult|sub
99            3|2|mult|2|1|add|mult|3|0|div|2|sq|add|sub
100           3|2|mult|3|sq|mult|3|1|sub|2|0|sub|div|add
101           3|2|mult|3|sq|mult|3|1|div|1|0|add|div|sub
102           3|sq|2|0|mult|mult|2|1|div|3|add|sub
103           3|1|div|2|1|add|add|3|sq|2|0|mult|mult|sub
104           3|1|div|2|0|div|add|3|sq|2|0|mult|mult|sub
