,target,reactants,reaction_energy(eV/atom),inverse_hull_energy(eV/atom),reaction,competing phases
0,UInS3,"['U2S3', 'In2S3']",-0.014956599374994536,-0.006525375083330509,0.5 U2S3 + 0.5 In2S3 -> UInS3,"[['U3S5', 'InS'], ['US2', 'InS']]"
1,UInS3,"['InS', 'US2']",-0.00019999999999669165,-0.00019999999999686935,InS + US2 -> UInS3,[]
