,target,reactants,reaction_energy(eV/atom),inverse_hull_energy(eV/atom),reaction,competing phases
0,BaSnS3,"['BaSn2S3', 'BaS3']",-0.08120666561111137,-0.03591942761112765,0.5 BaSn2S3 + 0.5 BaS3 -> BaSnS3,"[['Ba8Sn4S15', 'SnS'], ['Ba2SnS4', 'SnS'], ['Ba3Sn2S7', 'SnS'], ['Ba6Sn7S20', 'Ba3Sn2S7']]"
1,BaSnS3,"['SnS', 'BaS2']",-0.08347072161111126,-0.03591942761111255,SnS + BaS2 -> BaSnS3,"[['Ba6Sn7S20', 'Ba3Sn2S7'], ['Ba3Sn2S7', 'BaS3'], ['Ba2SnS4', 'BaS3']]"
2,BaSnS3,"['Ba6Sn7S20', 'Ba3Sn2S7']",-0.0001999999999966917,-0.00019999999999598117,0.1111 Ba6Sn7S20 + 0.1111 Ba3Sn2S7 -> BaSnS3,[]
