,target,reactants,reaction_energy(eV/atom),inverse_hull_energy(eV/atom),reaction,competing phases
0,MnInS3,"['In2S3', 'Mn2S3']",-0.026389614624994097,-0.02638961462499445,0.5 In2S3 + 0.5 Mn2S3 -> MnInS3,"[['MnS2', 'Mn(InS2)2']]"
1,MnInS3,"['Mn(InS2)2', 'MnS2']",-0.00019999999999171792,-0.00019999999999154028,0.5 Mn(InS2)2 + 0.5 MnS2 -> MnInS3,[]
