,target,reactants,reaction_energy(eV/atom),inverse_hull_energy(eV/atom),reaction,competing phases
0,UPbS3,"['US3', 'Pb']",-0.16010998875000892,-0.03388276525001288,US3 + Pb -> UPbS3,"[['U2PbS5', 'PbS'], ['U3S5', 'PbS'], ['U2S3', 'PbS']]"
1,UPbS3,"['US', 'PbS2']",-0.3238478177500115,-0.03388276524995959,US + PbS2 -> UPbS3,"[['U2S3', 'Pb'], ['U2S3', 'PbS'], ['U3S5', 'PbS'], ['U2PbS5', 'PbS'], ['US3', 'PbS']]"
2,UPbS3,"['U2PbS5', 'PbS']",-0.00020000000002369235,-0.0002000000000235147,0.5 U2PbS5 + 0.5 PbS -> UPbS3,[]
