,target,reactants,reaction_energy(eV/atom),inverse_hull_energy(eV/atom),reaction,competing phases
0,EuUS3,"['EuS2', 'US']",-0.2986181750000029,-0.024162808499990973,EuS2 + US -> EuUS3,"[['Eu3S4', 'US3'], ['US3', 'EuS'], ['US2', 'EuS'], ['U3S5', 'EuS'], ['U2S3', 'EuS']]"
1,EuUS3,"['U3S5', 'Eu3S4']",-0.046560691999997045,-0.024162808499985644,0.3333 U3S5 + 0.3333 Eu3S4 -> EuUS3,"[['US2', 'EuS'], ['US3', 'EuS']]"
2,EuUS3,"['EuS', 'US2']",-0.0002000000000037972,-0.0002000000000030866,EuS + US2 -> EuUS3,[]
