,target,reactants,reaction_energy(eV/atom),inverse_hull_energy(eV/atom),reaction,competing phases
0,CeYS3,"['YS', 'CeS2']",-0.22388275016666903,-0.058557818833325115,YS + CeS2 -> CeYS3,"[['Y5S7', 'CeS'], ['Y2S3', 'CeS'], ['Ce(YS2)3', 'CeS'], ['Ce(YS2)3', 'Ce2S3']]"
1,CeYS3,"['Ce2S3', 'Ce(YS2)3']",-0.00019999999999953375,-0.00019999999999953388,0.3333 Ce2S3 + 0.3333 Ce(YS2)3 -> CeYS3,[]
