,Unnamed: 0,material,exp_label,elements,A,B,X,rA,rB,rX,nA,nB,nX,chiA,chiB,chiX,rA_rB_ratio,rB_rX_ratio,rA_rX_ratio,delta_chi_AX,delta_chi_BX,delta_chi_AO,delta_chi_BO,rA_S,rB_S
439,439,RbCdBr3,1.0,"['Rb', 'Cd', 'Br']",Rb,Cd,Br,1.72,0.95,1.96,1,2,-1,0.82,1.69,2.96,1.8105263157894735,0.4846938775510204,0.8775510204081632,-2.14,-1.27,-2.62,-1.75,1.78,1.56
440,440,RbMnI3,0.0,"['Rb', 'Mn', 'I']",Rb,Mn,I,1.72,0.83,2.2,1,2,-1,0.82,1.55,2.66,2.072289156626506,0.3772727272727272,0.7818181818181817,-1.8400000000000003,-1.11,-2.62,-1.89,1.78,1.485
444,444,TlCrF3,1.0,"['Tl', 'Cr', 'F']",Tl,Cr,F,1.7,0.8,1.33,1,2,-1,1.62,1.66,3.98,2.125,0.6015037593984962,1.2781954887218043,-2.36,-2.3200000000000003,-1.82,-1.78,1.7,0.8
445,445,CaZrS3,1.0,"['Ca', 'Zr', 'S']",Ca,Zr,S,1.34,0.72,1.84,2,4,-2,1.0,1.33,2.58,1.8611111111111116,0.3913043478260869,0.7282608695652174,-1.58,-1.25,-2.44,-2.11,1.56,0.85
446,446,CsBeF3,1.0,"['Cs', 'Be', 'F']",Cs,Be,F,1.88,0.45,1.33,1,2,-1,0.79,1.57,3.98,4.177777777777777,0.3383458646616541,1.413533834586466,-3.19,-2.41,-2.65,-1.87,1.88,0.45
449,449,KCoF3,1.0,"['K', 'Co', 'F']",K,Co,F,1.64,0.745,1.33,1,2,-1,0.82,1.88,3.98,2.2013422818791946,0.5601503759398496,1.2330827067669172,-3.16,-2.1,-2.62,-1.56,1.64,0.745
450,450,SrZrS3,1.0,"['Sr', 'Zr', 'S']",Sr,Zr,S,1.44,0.72,1.84,2,4,-2,0.95,1.33,2.58,2.0,0.3913043478260869,0.7826086956521738,-1.63,-1.25,-2.49,-2.11,1.68,0.85
451,451,RbBeF3,0.0,"['Rb', 'Be', 'F']",Rb,Be,F,1.72,0.45,1.33,1,2,-1,0.82,1.57,3.98,3.822222222222222,0.3383458646616541,1.2932330827067668,-3.16,-2.41,-2.62,-1.87,1.72,0.45
452,452,CsPbF3,1.0,"['Cs', 'Pb', 'F']",Cs,Pb,F,1.88,1.19,1.33,1,2,-1,0.79,2.33,3.98,1.5798319327731092,0.894736842105263,1.413533834586466,-3.19,-1.65,-2.65,-1.11,1.88,1.19
455,455,CsMnCl3,1.0,"['Cs', 'Mn', 'Cl']",Cs,Mn,Cl,1.88,0.83,1.81,1,2,-1,0.79,1.55,3.16,2.265060240963856,0.4585635359116021,1.0386740331491713,-2.37,-1.61,-2.65,-1.89,1.88,0.83
