,material,exp_label,elements,A,B,X,rA,rB,rX,nA,nB,nX,chiA,chiB,chiX,rA_rB_ratio,rB_rX_ratio,rA_rX_ratio,delta_chi_AX,delta_chi_BX,delta_chi_AO,delta_chi_BO
231,CaUO3,1.0,"['Ca', 'U', 'O']",Ca,U,O,1.34,0.89,1.4,2,4,-2,1.0,1.38,3.44,1.50561797752809,0.6357142857142858,0.9571428571428573,-2.44,-2.06,-2.44,-2.06
232,LaErO3,1.0,"['La', 'Er', 'O']",La,Er,O,1.36,0.89,1.4,3,3,-2,1.1,1.24,3.44,1.5280898876404496,0.6357142857142858,0.9714285714285715,-2.34,-2.2,-2.34,-2.2
233,LiPO3,0.0,"['Li', 'P', 'O']",Li,P,O,0.92,0.38,1.4,1,5,-2,0.98,2.19,3.44,2.4210526315789473,0.27142857142857146,0.6571428571428573,-2.46,-1.25,-2.46,-1.25
234,BaNaCl3,0.0,"['Ba', 'Na', 'Cl']",Ba,Na,Cl,1.61,1.02,1.81,2,1,-1,0.89,0.93,3.16,1.5784313725490198,0.56353591160221,0.8895027624309393,-2.27,-2.23,-2.55,-2.51
235,CeGaO3,1.0,"['Ce', 'Ga', 'O']",Ce,Ga,O,1.34,0.62,1.4,3,3,-2,1.12,1.81,3.44,2.1612903225806455,0.4428571428571429,0.9571428571428573,-2.32,-1.63,-2.32,-1.63
236,KMnF3,1.0,"['K', 'Mn', 'F']",K,Mn,F,1.64,0.83,1.33,1,2,-1,0.82,1.55,3.98,1.9759036144578312,0.6240601503759398,1.2330827067669172,-3.16,-2.4299999999999997,-2.62,-1.89
237,ZnGeO3,0.0,"['Zn', 'Ge', 'O']",Zn,Ge,O,0.9,0.53,1.4,2,4,-2,1.65,2.01,3.44,1.6981132075471699,0.3785714285714286,0.6428571428571429,-1.79,-1.4300000000000002,-1.79,-1.4300000000000002
238,KMnI3,0.0,"['K', 'Mn', 'I']",K,Mn,I,1.64,0.83,2.2,1,2,-1,0.82,1.55,2.66,1.9759036144578312,0.3772727272727272,0.7454545454545454,-1.8400000000000003,-1.11,-2.62,-1.89
239,CeYbSe3,0.0,"['Ce', 'Yb', 'Se']",Ce,Yb,Se,1.34,0.868,1.98,3,3,-2,1.12,1.1,2.55,1.543778801843318,0.4383838383838384,0.6767676767676768,-1.4299999999999997,-1.4499999999999997,-2.32,-2.34
240,CuTaS3,0.0,"['Cu', 'Ta', 'S']",Cu,Ta,S,0.77,0.64,1.84,1,5,-2,1.9,1.5,2.58,1.203125,0.34782608695652173,0.4184782608695652,-0.6800000000000002,-1.08,-1.54,-1.94
241,CaLiCl3,0.0,"['Ca', 'Li', 'Cl']",Ca,Li,Cl,1.34,0.76,1.81,2,1,-1,1.0,0.98,3.16,1.7631578947368423,0.4198895027624309,0.7403314917127072,-2.16,-2.18,-2.44,-2.46
242,BaNbS3,0.0,"['Ba', 'Nb', 'S']",Ba,Nb,S,1.61,0.68,1.84,2,4,-2,0.89,1.6,2.58,2.3676470588235294,0.3695652173913044,0.875,-1.69,-0.98,-2.55,-1.8399999999999999
243,TbAlO3,1.0,"['Tb', 'Al', 'O']",Tb,Al,O,1.095,0.535,1.4,3,3,-2,1.1,1.61,3.44,2.0467289719626165,0.3821428571428572,0.7821428571428571,-2.34,-1.8299999999999998,-2.34,-1.8299999999999998
244,SmCrO3,1.0,"['Sm', 'Cr', 'O']",Sm,Cr,O,1.24,0.615,1.4,3,3,-2,1.17,1.66,3.44,2.016260162601626,0.43928571428571433,0.8857142857142858,-2.27,-1.78,-2.27,-1.78
245,UVS3,1.0,"['U', 'V', 'S']",U,V,S,1.17,0.79,1.84,4,2,-2,1.38,1.63,2.58,1.481012658227848,0.42934782608695654,0.6358695652173912,-1.2000000000000002,-0.9500000000000002,-2.06,-1.81
246,UCrS3,1.0,"['U', 'Cr', 'S']",U,Cr,S,1.17,0.8,1.84,4,2,-2,1.38,1.66,2.58,1.4625,0.43478260869565216,0.6358695652173912,-1.2000000000000002,-0.9200000000000002,-2.06,-1.78
247,TlCdI3,0.0,"['Tl', 'Cd', 'I']",Tl,Cd,I,1.7,0.95,2.2,1,2,-1,1.62,1.69,2.66,1.7894736842105263,0.43181818181818177,0.7727272727272726,-1.04,-0.9700000000000002,-1.8199999999999998,-1.75
248,CsCdCl3,1.0,"['Cs', 'Cd', 'Cl']",Cs,Cd,Cl,1.88,0.95,1.81,1,2,-1,0.79,1.69,3.16,1.9789473684210526,0.5248618784530387,1.0386740331491713,-2.37,-1.4700000000000002,-2.65,-1.75
249,PrAlO3,1.0,"['Pr', 'Al', 'O']",Pr,Al,O,1.179,0.535,1.4,3,3,-2,1.13,1.61,3.44,2.203738317757009,0.3821428571428572,0.8421428571428572,-2.31,-1.8299999999999998,-2.31,-1.8299999999999998
250,KPO3,0.0,"['K', 'P', 'O']",K,P,O,1.64,0.38,1.4,1,5,-2,0.82,2.19,3.44,4.315789473684211,0.27142857142857146,1.1714285714285715,-2.62,-1.25,-2.62,-1.25
251,SnTiS3,0.0,"['Sn', 'Ti', 'S']",Sn,Ti,S,1.15,0.605,1.84,2,4,-2,1.96,1.54,2.58,1.9008264462809916,0.3288043478260869,0.6249999999999999,-0.6200000000000001,-1.04,-1.48,-1.9
252,CaSnO3,1.0,"['Ca', 'Sn', 'O']",Ca,Sn,O,1.34,0.69,1.4,2,4,-2,1.0,1.96,3.44,1.9420289855072466,0.4928571428571428,0.9571428571428573,-2.44,-1.48,-2.44,-1.48
253,TlPbCl3,0.0,"['Tl', 'Pb', 'Cl']",Tl,Pb,Cl,1.7,1.19,1.81,1,2,-1,1.62,2.33,3.16,1.4285714285714286,0.6574585635359116,0.9392265193370165,-1.54,-0.8300000000000001,-1.8199999999999998,-1.1099999999999999
254,CoSiO3,0.0,"['Co', 'Si', 'O']",Co,Si,O,0.9,0.4,1.4,2,4,-2,1.88,1.9,3.44,2.25,0.28571428571428575,0.6428571428571429,-1.56,-1.54,-1.56,-1.54
