,material,exp_label,elements,A,B,X,rA,rB,rX,nA,nB,nX,chiA,chiB,chiX,rA_rB_ratio,rB_rX_ratio,rA_rX_ratio,delta_chi_AX,delta_chi_BX,delta_chi_AO,delta_chi_BO
298,KSrCl3,0.0,"['K', 'Sr', 'Cl']",K,Sr,Cl,1.64,1.18,1.81,1,2,-1,0.82,0.95,3.16,1.3898305084745763,0.6519337016574586,0.9060773480662982,-2.3400000000000003,-2.21,-2.62,-2.49
299,NaCaCl3,0.0,"['Na', 'Ca', 'Cl']",Na,Ca,Cl,1.39,1.0,1.81,1,2,-1,0.93,1.0,3.16,1.39,0.5524861878453039,0.7679558011049723,-2.23,-2.16,-2.51,-2.44
300,KMgCl3,0.0,"['K', 'Mg', 'Cl']",K,Mg,Cl,1.64,0.72,1.81,1,2,-1,0.82,1.31,3.16,2.2777777777777777,0.39779005524861877,0.9060773480662982,-2.3400000000000003,-1.85,-2.62,-2.13
301,CsPbCl3,1.0,"['Cs', 'Pb', 'Cl']",Cs,Pb,Cl,1.88,1.19,1.81,1,2,-1,0.79,2.33,3.16,1.5798319327731092,0.6574585635359116,1.0386740331491713,-2.37,-0.8300000000000001,-2.65,-1.1099999999999999
302,FeSO3,0.0,"['Fe', 'S', 'O']",Fe,S,O,0.92,0.37,1.4,2,4,-2,1.83,2.58,3.44,2.4864864864864864,0.2642857142857143,0.6571428571428573,-1.6099999999999999,-0.8599999999999999,-1.6099999999999999,-0.8599999999999999
303,InGaO3,0.0,"['In', 'Ga', 'O']",In,Ga,O,0.92,0.62,1.4,3,3,-2,1.78,1.81,3.44,1.4838709677419355,0.4428571428571429,0.6571428571428573,-1.66,-1.63,-1.66,-1.63
304,TlBeCl3,0.0,"['Tl', 'Be', 'Cl']",Tl,Be,Cl,1.7,0.45,1.81,1,2,-1,1.62,1.57,3.16,3.7777777777777777,0.24861878453038674,0.9392265193370165,-1.54,-1.59,-1.8199999999999998,-1.8699999999999999
305,KIO3,1.0,"['K', 'I', 'O']",K,I,O,1.64,0.95,1.4,1,5,-2,0.82,2.66,3.44,1.7263157894736842,0.6785714285714286,1.1714285714285715,-2.62,-0.7799999999999998,-2.62,-0.7799999999999998
306,CdTiO3,1.0,"['Cd', 'Ti', 'O']",Cd,Ti,O,1.31,0.605,1.4,2,4,-2,1.69,1.54,3.44,2.1652892561983474,0.43214285714285716,0.9357142857142858,-1.75,-1.9,-1.75,-1.9
307,BaCrO3,0.0,"['Ba', 'Cr', 'O']",Ba,Cr,O,1.61,0.55,1.4,2,4,-2,0.89,1.66,3.44,2.9272727272727272,0.3928571428571429,1.1500000000000001,-2.55,-1.78,-2.55,-1.78
308,CsMgI3,0.0,"['Cs', 'Mg', 'I']",Cs,Mg,I,1.88,0.72,2.2,1,2,-1,0.79,1.31,2.66,2.611111111111111,0.3272727272727272,0.8545454545454544,-1.87,-1.35,-2.65,-2.13
309,PbHfO3,1.0,"['Pb', 'Hf', 'O']",Pb,Hf,O,1.49,0.71,1.4,2,4,-2,2.33,1.3,3.44,2.098591549295775,0.5071428571428571,1.0642857142857143,-1.1099999999999999,-2.1399999999999997,-1.1099999999999999,-2.1399999999999997
310,LaScO3,1.0,"['La', 'Sc', 'O']",La,Sc,O,1.36,0.745,1.4,3,3,-2,1.1,1.36,3.44,1.8255033557046982,0.5321428571428571,0.9714285714285715,-2.34,-2.08,-2.34,-2.08
311,NdScS3,1.0,"['Nd', 'Sc', 'S']",Nd,Sc,S,1.27,0.745,1.84,3,3,-2,1.14,1.36,2.58,1.7046979865771812,0.40489130434782605,0.6902173913043478,-1.4400000000000002,-1.22,-2.3,-2.08
312,KZnF3,1.0,"['K', 'Zn', 'F']",K,Zn,F,1.64,0.74,1.33,1,2,-1,0.82,1.65,3.98,2.2162162162162162,0.556390977443609,1.2330827067669172,-3.16,-2.33,-2.62,-1.79
313,KTmI3,0.0,"['K', 'Tm', 'I']",K,Tm,I,1.64,1.03,2.2,1,2,-1,0.82,1.25,2.66,1.5922330097087378,0.46818181818181814,0.7454545454545454,-1.8400000000000003,-1.4100000000000001,-2.62,-2.19
314,ZnSnO3,0.0,"['Zn', 'Sn', 'O']",Zn,Sn,O,0.9,0.69,1.4,2,4,-2,1.65,1.96,3.44,1.3043478260869568,0.4928571428571428,0.6428571428571429,-1.79,-1.48,-1.79,-1.48
315,CsVO3,0.0,"['Cs', 'V', 'O']",Cs,V,O,1.88,0.54,1.4,1,5,-2,0.79,1.63,3.44,3.481481481481481,0.3857142857142858,1.342857142857143,-2.65,-1.81,-2.65,-1.81
316,TlMgCl3,0.0,"['Tl', 'Mg', 'Cl']",Tl,Mg,Cl,1.7,0.72,1.81,1,2,-1,1.62,1.31,3.16,2.361111111111111,0.39779005524861877,0.9392265193370165,-1.54,-1.85,-1.8199999999999998,-2.13
317,NdCrO3,1.0,"['Nd', 'Cr', 'O']",Nd,Cr,O,1.27,0.615,1.4,3,3,-2,1.14,1.66,3.44,2.065040650406504,0.43928571428571433,0.9071428571428573,-2.3,-1.78,-2.3,-1.78
318,CsBaCl3,0.0,"['Cs', 'Ba', 'Cl']",Cs,Ba,Cl,1.88,1.35,1.81,1,2,-1,0.79,0.89,3.16,1.3925925925925924,0.7458563535911602,1.0386740331491713,-2.37,-2.27,-2.65,-2.55
319,LaMnO3,1.0,"['La', 'Mn', 'O']",La,Mn,O,1.36,0.645,1.4,3,3,-2,1.1,1.55,3.44,2.108527131782946,0.46071428571428574,0.9714285714285715,-2.34,-1.89,-2.34,-1.89
320,CsMnF3,0.0,"['Cs', 'Mn', 'F']",Cs,Mn,F,1.88,0.83,1.33,1,2,-1,0.79,1.55,3.98,2.2650602409638556,0.6240601503759398,1.413533834586466,-3.19,-2.4299999999999997,-2.65,-1.89
321,AgCoF3,1.0,"['Ag', 'Co', 'F']",Ag,Co,F,1.28,0.745,1.33,1,2,-1,1.93,1.88,3.98,1.7181208053691275,0.5601503759398496,0.9624060150375939,-2.05,-2.1,-1.51,-1.56
322,LiNO3,0.0,"['Li', 'N', 'O']",Li,N,O,0.92,0.13,1.4,1,5,-2,0.98,3.04,3.44,7.076923076923077,0.09285714285714286,0.6571428571428573,-2.46,-0.3999999999999999,-2.46,-0.3999999999999999
323,VBO3,0.0,"['V', 'B', 'O']",V,B,O,0.64,0.27,1.4,3,3,-2,1.63,2.04,3.44,2.3703703703703702,0.1928571428571429,0.4571428571428572,-1.81,-1.4,-1.81,-1.4
324,BaNaBr3,0.0,"['Ba', 'Na', 'Br']",Ba,Na,Br,1.61,1.02,1.96,2,1,-1,0.89,0.93,2.96,1.5784313725490198,0.5204081632653061,0.8214285714285715,-2.07,-2.03,-2.55,-2.51
325,RbSrCl3,0.0,"['Rb', 'Sr', 'Cl']",Rb,Sr,Cl,1.72,1.18,1.81,1,2,-1,0.82,0.95,3.16,1.457627118644068,0.6519337016574586,0.9502762430939226,-2.3400000000000003,-2.21,-2.62,-2.49
326,SrPuO3,1.0,"['Sr', 'Pu', 'O']",Sr,Pu,O,1.44,0.86,1.4,2,4,-2,0.95,1.28,3.44,1.6744186046511627,0.6142857142857143,1.0285714285714287,-2.49,-2.16,-2.49,-2.16
327,CeVO3,1.0,"['Ce', 'V', 'O']",Ce,V,O,1.14,0.79,1.4,4,2,-2,1.12,1.63,3.44,1.4430379746835442,0.5642857142857144,0.8142857142857143,-2.32,-1.81,-2.32,-1.81
328,NaTaO3,1.0,"['Na', 'Ta', 'O']",Na,Ta,O,1.39,0.64,1.4,1,5,-2,0.93,1.5,3.44,2.171875,0.4571428571428572,0.9928571428571429,-2.51,-1.94,-2.51,-1.94
329,CsSnI3,1.0,"['Cs', 'Sn', 'I']",Cs,Sn,I,1.88,1.15,2.2,1,2,-1,0.79,1.96,2.66,1.6347826086956523,0.5227272727272726,0.8545454545454544,-1.87,-0.7000000000000002,-2.65,-1.48
330,NaMgI3,0.0,"['Na', 'Mg', 'I']",Na,Mg,I,1.39,0.72,2.2,1,2,-1,0.93,1.31,2.66,1.9305555555555556,0.3272727272727272,0.6318181818181817,-1.73,-1.35,-2.51,-2.13
331,TeCoO3,0.0,"['Te', 'Co', 'O']",Te,Co,O,0.97,0.745,1.4,4,2,-2,2.1,1.88,3.44,1.3020134228187918,0.5321428571428571,0.6928571428571428,-1.3399999999999999,-1.56,-1.3399999999999999,-1.56
332,HoScO3,1.0,"['Ho', 'Sc', 'O']",Ho,Sc,O,1.12,0.745,1.4,3,3,-2,1.23,1.36,3.44,1.5033557046979866,0.5321428571428571,0.8000000000000002,-2.21,-2.08,-2.21,-2.08
333,KCuF3,1.0,"['K', 'Cu', 'F']",K,Cu,F,1.64,0.73,1.33,1,2,-1,0.82,1.9,3.98,2.2465753424657535,0.5488721804511277,1.2330827067669172,-3.16,-2.08,-2.62,-1.54
334,TmFeO3,1.0,"['Tm', 'Fe', 'O']",Tm,Fe,O,1.052,0.645,1.4,3,3,-2,1.25,1.83,3.44,1.6310077519379844,0.46071428571428574,0.7514285714285716,-2.19,-1.6099999999999999,-2.19,-1.6099999999999999
335,LiTaO3,0.0,"['Li', 'Ta', 'O']",Li,Ta,O,0.92,0.64,1.4,1,5,-2,0.98,1.5,3.44,1.4375,0.4571428571428572,0.6571428571428573,-2.46,-1.94,-2.46,-1.94
336,PrMnO3,1.0,"['Pr', 'Mn', 'O']",Pr,Mn,O,1.179,0.645,1.4,3,3,-2,1.13,1.55,3.44,1.827906976744186,0.46071428571428574,0.8421428571428572,-2.31,-1.89,-2.31,-1.89
337,TiBO3,0.0,"['Ti', 'B', 'O']",Ti,B,O,0.67,0.27,1.4,3,3,-2,1.54,2.04,3.44,2.4814814814814814,0.1928571428571429,0.47857142857142865,-1.9,-1.4,-1.9,-1.4
338,HoCrO3,1.0,"['Ho', 'Cr', 'O']",Ho,Cr,O,1.12,0.615,1.4,3,3,-2,1.23,1.66,3.44,1.821138211382114,0.43928571428571433,0.8000000000000002,-2.21,-1.78,-2.21,-1.78
339,PrTiO3,1.0,"['Pr', 'Ti', 'O']",Pr,Ti,O,1.179,0.67,1.4,3,3,-2,1.13,1.54,3.44,1.7597014925373133,0.47857142857142865,0.8421428571428572,-2.31,-1.9,-2.31,-1.9
340,GdFeO3,1.0,"['Gd', 'Fe', 'O']",Gd,Fe,O,1.107,0.645,1.4,3,3,-2,1.2,1.83,3.44,1.7162790697674417,0.46071428571428574,0.7907142857142857,-2.24,-1.6099999999999999,-2.24,-1.6099999999999999
341,UNiS3,1.0,"['U', 'Ni', 'S']",U,Ni,S,1.17,0.69,1.84,4,2,-2,1.38,1.91,2.58,1.6956521739130435,0.37499999999999994,0.6358695652173912,-1.2000000000000002,-0.6700000000000002,-2.06,-1.53
342,NaPO3,0.0,"['Na', 'P', 'O']",Na,P,O,1.39,0.38,1.4,1,5,-2,0.93,2.19,3.44,3.657894736842105,0.27142857142857146,0.9928571428571429,-2.51,-1.25,-2.51,-1.25
343,PrScO3,1.0,"['Pr', 'Sc', 'O']",Pr,Sc,O,1.179,0.745,1.4,3,3,-2,1.13,1.36,3.44,1.58255033557047,0.5321428571428571,0.8421428571428572,-2.31,-2.08,-2.31,-2.08
344,LaCoO3,1.0,"['La', 'Co', 'O']",La,Co,O,1.36,0.61,1.4,3,3,-2,1.1,1.88,3.44,2.2295081967213117,0.4357142857142857,0.9714285714285715,-2.34,-1.56,-2.34,-1.56
345,TlFeI3,0.0,"['Tl', 'Fe', 'I']",Tl,Fe,I,1.7,0.78,2.2,1,2,-1,1.62,1.83,2.66,2.1794871794871793,0.35454545454545455,0.7727272727272726,-1.04,-0.8300000000000001,-1.8199999999999998,-1.6099999999999999
346,MgSiO3,1.0,"['Mg', 'Si', 'O']",Mg,Si,O,0.89,0.4,1.4,2,4,-2,1.31,1.9,3.44,2.225,0.28571428571428575,0.6357142857142858,-2.13,-1.54,-2.13,-1.54
347,DyCoO3,1.0,"['Dy', 'Co', 'O']",Dy,Co,O,1.083,0.61,1.4,3,3,-2,1.22,1.88,3.44,1.7754098360655737,0.4357142857142857,0.7735714285714286,-2.2199999999999998,-1.56,-2.2199999999999998,-1.56
348,CsTmI3,1.0,"['Cs', 'Tm', 'I']",Cs,Tm,I,1.88,1.03,2.2,1,2,-1,0.79,1.25,2.66,1.8252427184466018,0.46818181818181814,0.8545454545454544,-1.87,-1.4100000000000001,-2.65,-2.19
349,KMgI3,0.0,"['K', 'Mg', 'I']",K,Mg,I,1.64,0.72,2.2,1,2,-1,0.82,1.31,2.66,2.2777777777777777,0.3272727272727272,0.7454545454545454,-1.8400000000000003,-1.35,-2.62,-2.13
350,YbAlO3,1.0,"['Yb', 'Al', 'O']",Yb,Al,O,1.042,0.535,1.4,3,3,-2,1.1,1.61,3.44,1.9476635514018692,0.3821428571428572,0.7442857142857143,-2.34,-1.8299999999999998,-2.34,-1.8299999999999998
351,GdBO3,0.0,"['Gd', 'B', 'O']",Gd,B,O,1.107,0.27,1.4,3,3,-2,1.2,2.04,3.44,4.1,0.1928571428571429,0.7907142857142857,-2.24,-1.4,-2.24,-1.4
352,NaHgI3,0.0,"['Na', 'Hg', 'I']",Na,Hg,I,1.39,1.02,2.2,1,2,-1,0.93,2.0,2.66,1.3627450980392155,0.4636363636363636,0.6318181818181817,-1.73,-0.6600000000000001,-2.51,-1.44
353,NdMnO3,1.0,"['Nd', 'Mn', 'O']",Nd,Mn,O,1.27,0.645,1.4,3,3,-2,1.14,1.55,3.44,1.9689922480620154,0.46071428571428574,0.9071428571428573,-2.3,-1.89,-2.3,-1.89
354,CaZrO3,1.0,"['Ca', 'Zr', 'O']",Ca,Zr,O,1.34,0.72,1.4,2,4,-2,1.0,1.33,3.44,1.8611111111111114,0.5142857142857143,0.9571428571428573,-2.44,-2.11,-2.44,-2.11
355,CeTmO3,1.0,"['Ce', 'Tm', 'O']",Ce,Tm,O,1.34,0.88,1.4,3,3,-2,1.12,1.25,3.44,1.5227272727272727,0.6285714285714287,0.9571428571428573,-2.32,-2.19,-2.32,-2.19
356,RbFeCl3,0.0,"['Rb', 'Fe', 'Cl']",Rb,Fe,Cl,1.72,0.78,1.81,1,2,-1,0.82,1.83,3.16,2.205128205128205,0.430939226519337,0.9502762430939226,-2.3400000000000003,-1.33,-2.62,-1.6099999999999999
357,BaSiO3,0.0,"['Ba', 'Si', 'O']",Ba,Si,O,1.61,0.4,1.4,2,4,-2,0.89,1.9,3.44,4.025,0.28571428571428575,1.1500000000000001,-2.55,-1.54,-2.55,-1.54
358,LiMgCl3,0.0,"['Li', 'Mg', 'Cl']",Li,Mg,Cl,0.92,0.72,1.81,1,2,-1,0.98,1.31,3.16,1.277777777777778,0.39779005524861877,0.5082872928176796,-2.18,-1.85,-2.46,-2.13
359,CeHoS3,0.0,"['Ce', 'Ho', 'S']",Ce,Ho,S,1.34,0.9009999999999999,1.84,3,3,-2,1.12,1.23,2.58,1.4872364039955608,0.4896739130434782,0.7282608695652174,-1.46,-1.35,-2.32,-2.21
360,RbCrCl3,1.0,"['Rb', 'Cr', 'Cl']",Rb,Cr,Cl,1.72,0.8,1.81,1,2,-1,0.82,1.66,3.16,2.15,0.44198895027624313,0.9502762430939226,-2.3400000000000003,-1.5000000000000002,-2.62,-1.78
361,PbCO3,0.0,"['Pb', 'C', 'O']",Pb,C,O,1.49,0.16,1.4,2,4,-2,2.33,2.55,3.44,9.3125,0.1142857142857143,1.0642857142857143,-1.1099999999999999,-0.8900000000000001,-1.1099999999999999,-0.8900000000000001
362,PbLiF3,0.0,"['Pb', 'Li', 'F']",Pb,Li,F,1.49,0.76,1.33,2,1,-1,2.33,0.98,3.98,1.9605263157894737,0.5714285714285714,1.1203007518796992,-1.65,-3.0,-1.1099999999999999,-2.46
363,CsEuCl3,1.0,"['Cs', 'Eu', 'Cl']",Cs,Eu,Cl,1.88,1.17,1.81,1,2,-1,0.79,1.2,3.16,1.606837606837607,0.6464088397790054,1.0386740331491713,-2.37,-1.9600000000000002,-2.65,-2.24
364,NaCdF3,0.0,"['Na', 'Cd', 'F']",Na,Cd,F,1.39,0.95,1.33,1,2,-1,0.93,1.69,3.98,1.463157894736842,0.7142857142857142,1.045112781954887,-3.05,-2.29,-2.51,-1.75
365,SrTiO3,1.0,"['Sr', 'Ti', 'O']",Sr,Ti,O,1.44,0.605,1.4,2,4,-2,0.95,1.54,3.44,2.3801652892561984,0.43214285714285716,1.0285714285714287,-2.49,-1.9,-2.49,-1.9
366,PrFeO3,1.0,"['Pr', 'Fe', 'O']",Pr,Fe,O,1.179,0.645,1.4,3,3,-2,1.13,1.83,3.44,1.827906976744186,0.46071428571428574,0.8421428571428572,-2.31,-1.6099999999999999,-2.31,-1.6099999999999999
367,URhS3,1.0,"['U', 'Rh', 'S']",U,Rh,S,1.025,0.665,1.84,3,3,-2,1.38,2.28,2.58,1.5413533834586464,0.36141304347826086,0.5570652173913043,-1.2000000000000002,-0.30000000000000027,-2.06,-1.1600000000000001
368,AgNiF3,1.0,"['Ag', 'Ni', 'F']",Ag,Ni,F,1.28,0.69,1.33,1,2,-1,1.93,1.91,3.98,1.8550724637681162,0.5187969924812029,0.9624060150375939,-2.05,-2.0700000000000003,-1.51,-1.53
369,AgSbO3,0.0,"['Ag', 'Sb', 'O']",Ag,Sb,O,1.28,0.6,1.4,1,5,-2,1.93,2.05,3.44,2.1333333333333333,0.4285714285714286,0.9142857142857144,-1.51,-1.3900000000000001,-1.51,-1.3900000000000001
370,CdCuI3,0.0,"['Cd', 'Cu', 'I']",Cd,Cu,I,1.31,0.77,2.2,2,1,-1,1.69,1.9,2.66,1.7012987012987013,0.35,0.5954545454545455,-0.9700000000000002,-0.7600000000000002,-1.75,-1.54
371,BaAmO3,1.0,"['Ba', 'Am', 'O']",Ba,Am,O,1.61,0.85,1.4,2,4,-2,0.89,1.3,3.44,1.8941176470588237,0.6071428571428572,1.1500000000000001,-2.55,-2.1399999999999997,-2.55,-2.1399999999999997
372,FeMnO3,0.0,"['Fe', 'Mn', 'O']",Fe,Mn,O,0.92,0.53,1.4,2,4,-2,1.83,1.55,3.44,1.7358490566037736,0.3785714285714286,0.6571428571428573,-1.6099999999999999,-1.89,-1.6099999999999999,-1.89
373,SnNaCl3,0.0,"['Sn', 'Na', 'Cl']",Sn,Na,Cl,1.15,1.02,1.81,2,1,-1,1.96,0.93,3.16,1.1274509803921569,0.56353591160221,0.6353591160220994,-1.2000000000000002,-2.23,-1.48,-2.51
374,RbBeCl3,0.0,"['Rb', 'Be', 'Cl']",Rb,Be,Cl,1.72,0.45,1.81,1,2,-1,0.82,1.57,3.16,3.822222222222222,0.24861878453038674,0.9502762430939226,-2.3400000000000003,-1.59,-2.62,-1.8699999999999999
375,CsNiBr3,0.0,"['Cs', 'Ni', 'Br']",Cs,Ni,Br,1.88,0.69,1.96,1,2,-1,0.79,1.91,2.96,2.7246376811594204,0.3520408163265306,0.9591836734693877,-2.17,-1.05,-2.65,-1.53
376,RbTaO3,1.0,"['Rb', 'Ta', 'O']",Rb,Ta,O,1.72,0.64,1.4,1,5,-2,0.82,1.5,3.44,2.6875,0.4571428571428572,1.2285714285714286,-2.62,-1.94,-2.62,-1.94
377,RbEuCl3,0.0,"['Rb', 'Eu', 'Cl']",Rb,Eu,Cl,1.72,1.17,1.81,1,2,-1,0.82,1.2,3.16,1.4700854700854702,0.6464088397790054,0.9502762430939226,-2.3400000000000003,-1.9600000000000002,-2.62,-2.24
378,SnHfS3,0.0,"['Sn', 'Hf', 'S']",Sn,Hf,S,1.15,0.71,1.84,2,4,-2,1.96,1.3,2.58,1.619718309859155,0.38586956521739124,0.6249999999999999,-0.6200000000000001,-1.28,-1.48,-2.1399999999999997
379,RbZnCl3,0.0,"['Rb', 'Zn', 'Cl']",Rb,Zn,Cl,1.72,0.74,1.81,1,2,-1,0.82,1.65,3.16,2.324324324324324,0.4088397790055249,0.9502762430939226,-2.3400000000000003,-1.5100000000000002,-2.62,-1.79
380,CsNiCl3,0.0,"['Cs', 'Ni', 'Cl']",Cs,Ni,Cl,1.88,0.69,1.81,1,2,-1,0.79,1.91,3.16,2.7246376811594204,0.38121546961325964,1.0386740331491713,-2.37,-1.2500000000000002,-2.65,-1.53
381,InFeO3,0.0,"['In', 'Fe', 'O']",In,Fe,O,0.92,0.645,1.4,3,3,-2,1.78,1.83,3.44,1.426356589147287,0.46071428571428574,0.6571428571428573,-1.66,-1.6099999999999999,-1.66,-1.6099999999999999
382,LiCoBr3,0.0,"['Li', 'Co', 'Br']",Li,Co,Br,0.92,0.745,1.96,1,2,-1,0.98,1.88,2.96,1.2348993288590604,0.38010204081632654,0.46938775510204084,-1.98,-1.08,-2.46,-1.56
383,GdMnO3,1.0,"['Gd', 'Mn', 'O']",Gd,Mn,O,1.107,0.645,1.4,3,3,-2,1.2,1.55,3.44,1.7162790697674417,0.46071428571428574,0.7907142857142857,-2.24,-1.89,-2.24,-1.89
384,SrMoO3,1.0,"['Sr', 'Mo', 'O']",Sr,Mo,O,1.44,0.65,1.4,2,4,-2,0.95,2.16,3.44,2.215384615384615,0.46428571428571436,1.0285714285714287,-2.49,-1.2799999999999998,-2.49,-1.2799999999999998
385,AgMgF3,1.0,"['Ag', 'Mg', 'F']",Ag,Mg,F,1.28,0.72,1.33,1,2,-1,1.93,1.31,3.98,1.777777777777778,0.5413533834586466,0.9624060150375939,-2.05,-2.67,-1.51,-2.13
386,TlMnCl3,1.0,"['Tl', 'Mn', 'Cl']",Tl,Mn,Cl,1.7,0.83,1.81,1,2,-1,1.62,1.55,3.16,2.0481927710843375,0.45856353591160215,0.9392265193370165,-1.54,-1.61,-1.8199999999999998,-1.89
387,CsVI3,0.0,"['Cs', 'V', 'I']",Cs,V,I,1.88,0.79,2.2,1,2,-1,0.79,1.63,2.66,2.3797468354430378,0.35909090909090907,0.8545454545454544,-1.87,-1.0300000000000002,-2.65,-1.81
388,CdSeO3,0.0,"['Cd', 'Se', 'O']",Cd,Se,O,1.31,0.5,1.4,2,4,-2,1.69,2.55,3.44,2.62,0.35714285714285715,0.9357142857142858,-1.75,-0.8900000000000001,-1.75,-0.8900000000000001
389,ILiO3,0.0,"['I', 'Li', 'O']",I,Li,O,0.95,0.76,1.4,5,1,-2,2.66,0.98,3.44,1.25,0.5428571428571429,0.6785714285714286,-0.7799999999999998,-2.46,-0.7799999999999998,-2.46
390,YMnO3,1.0,"['Y', 'Mn', 'O']",Y,Mn,O,1.075,0.645,1.4,3,3,-2,1.22,1.55,3.44,1.6666666666666665,0.46071428571428574,0.7678571428571429,-2.2199999999999998,-1.89,-2.2199999999999998,-1.89
391,RbUO3,1.0,"['Rb', 'U', 'O']",Rb,U,O,1.72,0.76,1.4,1,5,-2,0.82,1.38,3.44,2.263157894736842,0.5428571428571429,1.2285714285714286,-2.62,-2.06,-2.62,-2.06
392,EuMnO3,1.0,"['Eu', 'Mn', 'O']",Eu,Mn,O,1.12,0.645,1.4,3,3,-2,1.2,1.55,3.44,1.736434108527132,0.46071428571428574,0.8000000000000002,-2.24,-1.89,-2.24,-1.89
393,LuBO3,0.0,"['Lu', 'B', 'O']",Lu,B,O,1.032,0.27,1.4,3,3,-2,1.27,2.04,3.44,3.822222222222222,0.1928571428571429,0.7371428571428572,-2.17,-1.4,-2.17,-1.4
394,BiAlO3,1.0,"['Bi', 'Al', 'O']",Bi,Al,O,1.17,0.535,1.4,3,3,-2,2.02,1.61,3.44,2.186915887850467,0.3821428571428572,0.8357142857142857,-1.42,-1.8299999999999998,-1.42,-1.8299999999999998
395,SrHfSe3,0.0,"['Sr', 'Hf', 'Se']",Sr,Hf,Se,1.44,0.71,1.98,2,4,-2,0.95,1.3,2.55,2.028169014084507,0.35858585858585856,0.7272727272727273,-1.5999999999999999,-1.2499999999999998,-2.49,-2.1399999999999997
396,YbCrO3,1.0,"['Yb', 'Cr', 'O']",Yb,Cr,O,1.042,0.615,1.4,3,3,-2,1.1,1.66,3.44,1.694308943089431,0.43928571428571433,0.7442857142857143,-2.34,-1.78,-2.34,-1.78
397,CeTiO3,1.0,"['Ce', 'Ti', 'O']",Ce,Ti,O,1.14,0.86,1.4,4,2,-2,1.12,1.54,3.44,1.3255813953488371,0.6142857142857143,0.8142857142857143,-2.32,-1.9,-2.32,-1.9
398,NdInO3,1.0,"['Nd', 'In', 'O']",Nd,In,O,1.27,0.8,1.4,3,3,-2,1.14,1.78,3.44,1.5875,0.5714285714285715,0.9071428571428573,-2.3,-1.66,-2.3,-1.66
399,DyTiO3,1.0,"['Dy', 'Ti', 'O']",Dy,Ti,O,1.083,0.67,1.4,3,3,-2,1.22,1.54,3.44,1.616417910447761,0.47857142857142865,0.7735714285714286,-2.2199999999999998,-1.9,-2.2199999999999998,-1.9
400,KTaO3,1.0,"['K', 'Ta', 'O']",K,Ta,O,1.64,0.64,1.4,1,5,-2,0.82,1.5,3.44,2.5625,0.4571428571428572,1.1714285714285715,-2.62,-1.94,-2.62,-1.94
401,RbSnI3,0.0,"['Rb', 'Sn', 'I']",Rb,Sn,I,1.72,1.15,2.2,1,2,-1,0.82,1.96,2.66,1.4956521739130435,0.5227272727272726,0.7818181818181817,-1.8400000000000003,-0.7000000000000002,-2.62,-1.48
402,TlCoF3,1.0,"['Tl', 'Co', 'F']",Tl,Co,F,1.7,0.745,1.33,1,2,-1,1.62,1.88,3.98,2.2818791946308723,0.5601503759398496,1.2781954887218043,-2.36,-2.1,-1.8199999999999998,-1.56
403,CaIrO3,1.0,"['Ca', 'Ir', 'O']",Ca,Ir,O,1.34,0.625,1.4,2,4,-2,1.0,2.2,3.44,2.144,0.44642857142857145,0.9571428571428573,-2.44,-1.2399999999999998,-2.44,-1.2399999999999998
404,SrGeO3,1.0,"['Sr', 'Ge', 'O']",Sr,Ge,O,1.44,0.53,1.4,2,4,-2,0.95,2.01,3.44,2.7169811320754715,0.3785714285714286,1.0285714285714287,-2.49,-1.4300000000000002,-2.49,-1.4300000000000002
405,TbCoO3,1.0,"['Tb', 'Co', 'O']",Tb,Co,O,1.095,0.61,1.4,3,3,-2,1.1,1.88,3.44,1.7950819672131149,0.4357142857142857,0.7821428571428571,-2.34,-1.56,-2.34,-1.56
406,CuSeO3,0.0,"['Cu', 'Se', 'O']",Cu,Se,O,0.73,0.5,1.4,2,4,-2,1.9,2.55,3.44,1.46,0.35714285714285715,0.5214285714285715,-1.54,-0.8900000000000001,-1.54,-0.8900000000000001
407,CaMnO3,1.0,"['Ca', 'Mn', 'O']",Ca,Mn,O,1.34,0.53,1.4,2,4,-2,1.0,1.55,3.44,2.5283018867924527,0.3785714285714286,0.9571428571428573,-2.44,-1.89,-2.44,-1.89
408,YVO3,1.0,"['Y', 'V', 'O']",Y,V,O,1.075,0.64,1.4,3,3,-2,1.22,1.63,3.44,1.6796875,0.4571428571428572,0.7678571428571429,-2.2199999999999998,-1.81,-2.2199999999999998,-1.81
409,NdRhO3,1.0,"['Nd', 'Rh', 'O']",Nd,Rh,O,1.27,0.665,1.4,3,3,-2,1.14,2.28,3.44,1.9097744360902256,0.47500000000000003,0.9071428571428573,-2.3,-1.1600000000000001,-2.3,-1.1600000000000001
410,BaZrSe3,0.0,"['Ba', 'Zr', 'Se']",Ba,Zr,Se,1.61,0.72,1.98,2,4,-2,0.89,1.33,2.55,2.236111111111111,0.36363636363636365,0.8131313131313131,-1.6599999999999997,-1.2199999999999998,-2.55,-2.11
411,CsHgF3,1.0,"['Cs', 'Hg', 'F']",Cs,Hg,F,1.88,1.02,1.33,1,2,-1,0.79,2.0,3.98,1.8431372549019607,0.7669172932330827,1.413533834586466,-3.19,-1.98,-2.65,-1.44
412,KHgF3,1.0,"['K', 'Hg', 'F']",K,Hg,F,1.64,1.02,1.33,1,2,-1,0.82,2.0,3.98,1.6078431372549018,0.7669172932330827,1.2330827067669172,-3.16,-1.98,-2.62,-1.44
