,diff,PCE (%)
0,0.0,33.69191567915919
1,0.002,33.70127953445974
2,0.004,33.70430774642339
3,0.006,33.6930681468917
4,0.008,33.67305952340667
5,0.01,33.650724146859595
6,0.012,33.646672943435334
7,0.014,33.64623926836233
8,0.016,33.64873706533473
9,0.018,33.64987544930128
10,0.02,33.64935839586043
11,0.022,33.64809999267208
12,0.024,33.64622399064727
13,0.026,33.644070504056096
14,0.028,33.64102051384291
15,0.03,33.630185777826725
16,0.032,33.6146766515407
17,0.034,33.60574085891885
18,0.036,33.606630900689964
19,0.038,33.60577447546765
20,0.04,33.60428789336431
21,0.042,33.6047287593928
22,0.044,33.59843221897418
23,0.046,33.58506350495241
24,0.048,33.566912995399356
25,0.05,33.54499123711439
26,0.052,33.52033735213324
27,0.054,33.494721508276164
28,0.056,33.469135697765495
29,0.058,33.444445048217126
30,0.06,33.42013201602475
31,0.062,33.394559087526616
32,0.064,33.368674448304134
33,0.066,33.34315499647175
34,0.068,33.318200692292784
35,0.07,33.29295151539445
36,0.072,33.2662891650748
37,0.074,33.23894016682131
38,0.076,33.211920731515306
39,0.078,33.185940550240645
40,0.08,33.159622724287416
41,0.082,33.131830166264564
42,0.084,33.10390473326739
43,0.086,33.07655153453164
44,0.088,33.049268605491406
45,0.09,33.04983721095526
46,0.092,33.065811693956
47,0.094,33.08190756428774
48,0.096,33.09769604697197
49,0.098,33.112777797706556
50,0.1,33.1275045763965
51,0.102,33.14216923329417
52,0.104,33.156759212350934
53,0.106,33.168610482763086
54,0.108,33.17978806885289
55,0.11,33.19323851084887
56,0.112,33.20682101290758
57,0.114,33.2202743409376
58,0.116,33.233653269381165
59,0.118,33.246474343552386
60,0.12,33.25873021577726
61,0.122,33.271215687004776
62,0.124,33.28315197582916
63,0.126,33.294142389836324
64,0.128,33.30504173440616
65,0.13,33.3159139794967
66,0.132,33.32694894863244
67,0.134,33.33793540949472
68,0.136,33.34864933138291
69,0.138,33.35908320476485
70,0.14,33.368746996833636
71,0.142,33.37823988042073
72,0.144,33.38784710844178
73,0.146,33.39695675556033
74,0.148,33.40577945614399
75,0.15,33.414467977146444
76,0.152,33.42306366750019
77,0.154,33.430790475188694
78,0.156,33.43796214162294
79,0.158,33.44535293870528
80,0.16,33.452524748713046
81,0.162,33.45931637995388
82,0.164,33.4657766693711
83,0.166,33.47199554631074
84,0.168,33.47760756626501
85,0.17,33.48238118223029
86,0.172,33.48675245083809
87,0.174,33.49088181436829
88,0.176,33.49482171506576
89,0.178,33.4983323577728
90,0.18,33.49934920536699
91,0.182,33.50019722659815
92,0.184,33.50249930821238
93,0.186,33.504275839605256
94,0.188,33.506259812798234
95,0.19,33.508061591721685
96,0.192,33.50904605734564
97,0.194,33.50921537793235
98,0.196,33.508396843565905
99,0.198,33.50568280123975
100,0.2,33.503355777069316
101,0.202,33.50147088955552
102,0.204,33.499595676769175
103,0.206,33.49499167020396
104,0.208,33.48557246918637
105,0.21,33.4780667785747
106,0.212,33.46996069100119
107,0.214,33.45766780783178
108,0.216,33.44297651138478
109,0.218,33.42814267401441
110,0.22,33.413763070088216
111,0.222,33.394940632981964
112,0.224,33.366958204320575
113,0.226,33.328534229096306
114,0.228,33.28336579246091
115,0.23,33.22577607899455
116,0.232,33.15920740705733
117,0.234,33.09811156304544
118,0.236,33.03750617315789
119,0.238,32.9735944592064
120,0.24,32.91087113152537
121,0.242,32.84604641800702
122,0.244,32.79061804463581
123,0.246,32.73597951643333
124,0.248,32.667162080350295
125,0.25,32.60803464038963
126,0.252,32.56288612108468
127,0.254,32.51645014066499
128,0.256,32.45998892509209
129,0.258,32.399084745118664
130,0.26,32.34794177428027
131,0.262,32.295943171832235
132,0.264,32.242509812658916
133,0.266,32.196032173500406
134,0.268,32.15433204033868
135,0.27,32.11986698251432
136,0.272,32.08857928392677
137,0.274,32.06629558746082
138,0.276,32.046623510158504
139,0.278,32.02431146281011
140,0.28,32.00740084344785
141,0.282,31.99344768386301
142,0.284,31.972795008741375
143,0.286,31.95369002513092
144,0.288,31.94118130716616
145,0.29,31.927198058873632
146,0.292,31.912202058529655
147,0.294,31.8960784850225
148,0.296,31.87458594935349
149,0.298,31.85521313888954
150,0.3,31.84374121946246
151,0.302,31.831735640206524
152,0.304,31.820158865836007
153,0.306,31.80298128644797
154,0.308,31.783210109009985
155,0.31,31.762350549929007
156,0.312,31.74408596638254
157,0.314,31.729909526783185
