,diff,PCE (%)
0,0.0,44.97144699404537
1,0.01,44.99964770860262
2,0.02,45.073609280404085
3,0.03,45.10787683826593
4,0.04,45.133538139946445
5,0.05,45.15462821265562
6,0.06,45.1759637771405
7,0.07,45.189015149926014
8,0.08,45.204283174710994
9,0.09,45.223672512626166
10,0.1,45.288400921747424
11,0.11,45.27466443803239
12,0.12,45.254293421789214
13,0.13,45.2288161025904
14,0.14,45.25008307195418
15,0.15,45.2136478529316
16,0.16,45.22672057397183
17,0.17,45.18684057717502
18,0.18,45.20125962298498
19,0.19,45.16036179287007
20,0.2,45.161078110407686
21,0.21,45.105224505363374
22,0.22,45.092654953350504
23,0.23,45.07860734291302
24,0.24,45.001970718707895
25,0.25,44.980124487759745
26,0.26,44.96129028823737
27,0.27,44.93749793533962
28,0.28,44.91057790821078
29,0.29,44.93160317630813
30,0.3,44.77697662911905
31,0.31,44.736209546254315
32,0.32,44.688660798692
33,0.33,44.63700165613088
34,0.34,44.5808599991698
35,0.35,44.52444781312674
36,0.36,44.52695820837882
37,0.37,44.46472022494487
38,0.38,44.401464122165365
39,0.39,44.33515687132932
40,0.4,44.27477183529468
41,0.41,44.19405822207673
42,0.42,44.17430056228619
43,0.43,44.088711493261584
44,0.44,44.00497347984654
45,0.45,43.984607377901426
46,0.46,43.890571054040876
47,0.47,43.80040318356329
48,0.48,43.768108489119996
49,0.49,43.66949193411525
50,0.5,43.63381476667517
51,0.51,43.52953004440075
52,0.52,43.48913271371426
53,0.53,43.37183215971319
54,0.54,43.323934289681006
55,0.55,43.20260708479695
56,0.56,43.152096348811
57,0.57,43.024723986268036
58,0.58,42.968927666519924
59,0.59,42.9191483191752
60,0.6,42.786826023668155
61,0.61,42.72018231468437
62,0.62,42.6618090871781
63,0.63,42.514530327477274
64,0.64,42.44315581365603
65,0.65,42.38277384822144
66,0.66,42.30635931206212
67,0.67,42.2339835626908
68,0.68,42.09116062435108
69,0.69,42.032054936765526
70,0.7,41.95273411639362
71,0.71,41.87494730578651
72,0.72,41.7861414321511
73,0.73,41.69841458432698
74,0.74,41.61212228172165
75,0.75,41.51817061598539
76,0.76,41.430776067508404
77,0.77,41.390418694551045
78,0.78,41.170423600352215
79,0.79,41.19789265639247
80,0.8,41.04649846481318
81,0.81,40.944673457376496
82,0.82,40.84610397771593
83,0.83,40.74445637202659
84,0.84,40.646830176134685
85,0.85,40.55417575635991
86,0.86,40.442505186281736
87,0.87,40.325860351019394
88,0.88,40.2092139402884
89,0.89,40.09169579655945
90,0.9,40.058092501539946
91,0.91,39.938159028859886
92,0.92,39.817981298795026
93,0.93,39.70269798059388
94,0.94,39.58120874269784
95,0.96,39.42212868460745
96,0.97,39.29493599111469
97,0.98,39.16505758277394
98,0.99,39.12227125471684
99,1.0,38.99450214666355
100,1.01,38.86170229084789
101,1.02,38.81586647627551
102,1.03,38.69099980672651
103,1.04,38.553832074231835
104,1.05,38.50267955758999
105,1.06,38.37128236702817
106,1.07,38.32187261158807
107,1.08,38.201323645777265
108,1.09,38.07514703386031
109,1.1,38.02642747265655
110,1.11,37.90753788011522
111,1.12,37.87074198432546
112,1.13,37.75333177710677
113,1.14,37.70443228465595
114,1.15,37.59825042360387
115,1.16,37.55540351309966
116,1.17,37.46229397139271
117,1.18,37.43793690351342
118,1.19,37.33401608009172
119,1.2,37.29157691957492
120,1.21,37.175678918169716
121,1.22,37.12954251228607
122,1.23,37.01107696804566
123,1.24,36.95982793134548
124,1.25,36.84689855680838
125,1.26,36.79979798839896
126,1.27,36.749041873799484
127,1.28,36.62571278719554
128,1.29,36.576222802844
129,1.3,36.45375390667728
130,1.31,36.403488189064475
131,1.32,36.35988883723
132,1.33,36.238785122925286
