formula,bandgap,bandgap_sigma
BaCeS3,2.048635959625244,0.1174689382314682
BaUS3,2.142321825027466,0.12410447746515274
EuUS3,1.7421741485595703,0.10941638052463531
EuUSe3,1.3139811754226685,0.08695461601018906
EuInS3,1.8065435886383057,0.08551206439733505
EuInSe3,1.4205586910247803,0.07357171177864075
PrPbS3,1.8743572235107422,0.09335245192050934
CePbS3,1.6542202234268188,0.09506285935640335
UPbS3,1.8575679063796997,0.16578425467014313
SrPrS3,2.294349193572998,0.22498875856399536
SrCeS3,1.9508123397827148,0.20544789731502533
SrUS3,1.9742622375488281,0.2017650455236435
SrUSe3,1.713603138923645,0.12429844588041306
CaPrS3,2.0977389812469482,0.20069506764411926
CaPrSe3,1.8363193273544312,0.11432408541440964
CaCeSe3,1.5378624200820923,0.09073049575090408
TbSnS3,1.7190552949905396,0.1466778814792633
TbSnSe3,1.253965139389038,0.14837214350700378
PrCdS3,2.3280138969421387,0.08226107060909271
PrCdSe3,1.7877483367919922,0.10566117614507675
CeCdSe3,1.5263502597808838,0.10250387340784073
ScCuSe3,0.9483699798583984,0.1212477907538414
TbCuS3,1.4814406633377075,0.12207039445638657
TbCuSe3,1.2384600639343262,0.11992298811674118
FeCuS3,0.8002651929855347,0.25187450647354126
FeCuSe3,0.5741156339645386,0.14440509676933289
MgVS3,0.9163676500320435,0.9316868185997009
MgVSe3,0.7444366216659546,0.5622875690460205
MgRhS3,1.104295253753662,0.1372067630290985
MgRhSe3,1.0570683479309082,0.09781762212514877
MgTiS3,1.1765034198760986,1.5974515676498413
MgTiSe3,1.266829252243042,0.7954111695289612
MgRuS3,1.3804523944854736,0.21154606342315674
MgRuSe3,1.399716854095459,0.2194404900074005
MgMoS3,1.8373125791549683,0.6164953708648682
MgMoSe3,1.8926763534545898,0.26547807455062866
MgTaS3,1.833348274230957,0.43041062355041504
MgTaSe3,1.8008731603622437,0.21170979738235474
MgNbS3,1.3899352550506592,0.2660955488681793
MgNbSe3,1.2728396654129028,0.1284104585647583
MgPtS3,1.1195628643035889,0.30774950981140137
MgPtSe3,1.2311725616455078,0.24767039716243744
MgPdS3,1.1752665042877197,0.20815880596637726
MgPdSe3,1.0892966985702515,0.18558484315872192
MgCrSe3,0.6114505529403687,0.22448155283927917
VZnS3,1.2671031951904297,1.395478367805481
VZnSe3,0.8143650889396667,0.6678045988082886
ZnRhS3,1.6174418926239014,0.4077855050563812
ZnRhSe3,1.0109272003173828,0.16601748764514923
TiZnS3,1.9673359394073486,3.2341713905334473
TiZnSe3,1.5438332557678223,1.6436216831207275
ZnRuS3,2.030583620071411,0.3667988181114197
ZnRuSe3,1.3196312189102173,0.27019038796424866
ZnMoS3,2.737609386444092,0.74820876121521
ZnMoSe3,2.2978615760803223,0.6455396413803101
TaZnS3,2.8616466522216797,0.4930943548679352
TaZnSe3,2.011287212371826,0.36820653080940247
NbZnS3,2.252758264541626,0.4330842196941376
NbZnSe3,1.0955700874328613,0.31187349557876587
HfZnSe3,1.5806477069854736,0.20127235352993011
ZnPtS3,1.7136815786361694,0.6383535265922546
ZnPtSe3,1.3957264423370361,0.420873761177063
ZnPdS3,1.8066552877426147,0.5063995122909546
ZnPdSe3,1.2246949672698975,0.3243314027786255
LaYbS3,1.6624208688735962,0.07762373983860016
LaYbSe3,1.3793915510177612,0.07536011189222336
LaErSe3,1.3690780401229858,0.08345919102430344
LaTmSe3,1.5325453281402588,0.0603465810418129
LaLuS3,1.7181013822555542,0.07604295015335083
LaLuSe3,1.5414683818817139,0.07519534230232239
LaTlSe3,1.510464072227478,0.09198985993862152
YbPrSe3,1.40619957447052,0.0692480280995369
PrLuSe3,1.5419987440109253,0.06758824735879898
YbCeSe3,1.2764614820480347,0.07446952909231186
CeTmSe3,1.4682152271270752,0.05955347418785095
CeLuS3,1.6009998321533203,0.07306626439094543
CeLuSe3,1.3863157033920288,0.07844345271587372
NdLuSe3,1.60233736038208,0.08256187289953232
NdInS3,1.726141333580017,0.08740710467100143
YbBiS3,1.2733370065689087,0.09025467187166214
