epoch,train loss,val loss,swa
0.0,0.4614720049910363,0.462621089183923,n
19.0,0.23755406322498973,0.29995587673397434,y
39.0,0.1502839040032998,0.27469607588345024,y
59.0,0.10517126332065722,0.27154011306027076,y
79.0,0.07713829669735424,0.27344806989034015,y
99.0,0.05938184109279839,0.26577587232773625,y
119.0,0.050701531325073664,0.26761007571680157,y
139.0,0.042343472641363344,0.2659565344986508,y
159.0,0.03727177976123714,0.26998463642498677,y
179.0,0.03427979022377485,0.27040485508185774,y
199.0,0.03083206702412839,0.27007330613359604,y
