epoch,train loss,val loss,swa
0.0,0.45970754006813314,0.45972492970710943,n
19.0,0.2837695623266286,0.35972592292081557,y
39.0,0.16698981626280424,0.3365574306692959,y
59.0,0.10735275467921948,0.32918520308723137,y
79.0,0.08271868968832082,0.31905018856374356,y
99.0,0.05655491269867996,0.3216110261018611,y
119.0,0.04642351619128523,0.3189315372262119,y
139.0,0.037873024776064114,0.3193230323555056,y
159.0,0.033091774480096224,0.3181417185412951,y
179.0,0.02693309578402289,0.324493156648536,y
199.0,0.022782994549849937,0.32175231045599484,y
219.0,0.020430853037998593,0.3239891118582944,y
