,target,reactants,reaction_energy(eV/atom),inverse_hull_energy(eV/atom),reaction,competing phases
0,MnInS3,"['In2S3', 'Mn2S3']",-0.026389614624996928,-0.026389614624997115,0.5 In2S3 + 0.5 Mn2S3 -> MnInS3,"[['MnS2', 'Mn(InS2)2']]"
1,MnInS3,"['Mn(InS2)2', 'MnS2']",-0.00019999999999029694,-0.0001999999999906521,0.5 Mn(InS2)2 + 0.5 MnS2 -> MnInS3,[]
