,target,reactants,reaction_energy(eV/atom),inverse_hull_energy(eV/atom),reaction,competing phases
0,BaZrSe3,"['ZrSe2', 'BaSe']",-0.020821502499996525,-0.020821502499995148,ZrSe2 + BaSe -> BaZrSe3,[]
1,BaZrSe3,"['BaSe2', 'ZrSe']",-0.2625696265000034,-0.009134577500004681,BaSe2 + ZrSe -> BaZrSe3,"[['ZrSe3', 'BaSe'], ['Ba15(ZrSe3)14', 'ZrSe2'], ['Zr2Se3', 'Ba15(ZrSe3)14']]"
2,BaZrSe3,"['ZrSe3', 'Ba15(ZrSe3)14']",-0.007576320833395692,-0.007576320833394767,0.06667 ZrSe3 + 0.06667 Ba15(ZrSe3)14 -> BaZrSe3,[]
