Unnamed: 0,target,reactants,reaction_energy(eV/atom),inverse_hull_energy(eV/atom),reaction,competing phases
0,BaUSe3,"['BaSe2', 'USe']",-0.3018491423571403,-0.0507881858571499,BaSe2 + USe -> BaUSe3,"[['USe3', 'Ba4USe6'], ['BaU2Se5', 'Ba4USe6'], ['Ba4USe6', 'U2Se3'], ['U2Se3', 'BaSe']]"
1,BaUSe3,"['BaU2Se5', 'Ba4USe6']",-0.0001999999999895,-0.0001999999999897,0.4286 BaU2Se5 + 0.1429 Ba4USe6 -> BaUSe3,[]
0,SmUSe3,"['USe2', 'SmSe']",-0.126474810649978,-0.0326186693888761,USe2 + SmSe -> SmUSe3,"[['Sm2Se3', 'U11Se20'], ['Sm2Se3', 'U2Se3'], ['USe', 'Sm2Se3'], ['Sm2Se3', 'U']]"
1,SmUSe3,"['Sm2Se3', 'U2Se3']",-0.0001999999999966,-0.0001999999999968,0.5 Sm2Se3 + 0.5 U2Se3 -> SmUSe3,[]
0,PrScS3,"['PrS2', 'ScS']",-0.2117429429999883,-0.2117429429999875,PrS2 + ScS -> PrScS3,[]
1,PrScS3,"['Sc2S3', 'Pr2S3']",-0.017925826750006,-0.0179258267500053,0.5 Sc2S3 + 0.5 Pr2S3 -> PrScS3,[]
0,ZrCdS3,"['ZrS3', 'Cd']",-0.2027447709999869,-0.2027447709999865,ZrS3 + Cd -> ZrCdS3,"[['ZrS2', 'CdS']]"
1,ZrCdS3,"['ZrS', 'CdS2']",-0.3934367240000036,-0.067714923666676,ZrS + CdS2 -> ZrCdS3,"[['Zr3S4', 'Cd'], ['ZrS2', 'Cd'], ['ZrS2', 'CdS'], ['ZrS3', 'CdS']]"
2,ZrCdS3,"['CdS', 'ZrS2']",-0.0001999999999945,-0.0001999999999933,CdS + ZrS2 -> ZrCdS3,[]
0,CaUS3,"['CaS', 'US2']",-0.0001999999999995,-0.0001999999999995,CaS + US2 -> CaUS3,[]
0,EuDyS3,"['Eu(DyS2)2', 'EuS2']",-0.0001999999999895,-0.0001999999999906,0.5 Eu(DyS2)2 + 0.5 EuS2 -> EuDyS3,[]
0,CeCdS3,"['CdS', 'CeS2']",-0.000200000000008,-0.0002000000000075,CdS + CeS2 -> CeCdS3,[]
