,target,reactants,reaction_energy(eV/atom),inverse_hull_energy(eV/atom),reaction,competing phases
0,LaLuSe3,"['LaSe2', 'LuSe']",-0.26032881449999995,-0.08651628005557122,LaSe2 + LuSe -> LaLuSe3,"[['La10Se19', 'Lu2Se3'], ['La3LuSe6', 'Lu2Se3'], ['Lu2Se3', 'LaSe']]"
1,LaLuSe3,"['La3LuSe6', 'Lu2Se3']",-0.00020000000000237596,-0.00020000000000219842,0.3333 La3LuSe6 + 0.3333 Lu2Se3 -> LaLuSe3,[]
